	TFm_0001.HK_neg_reg4_mult_28	TFm_0001.HK_neg_reg4_mult_28_per	TFm_0001.HK_neg_reg4_mult_64	TFm_0001.HK_neg_reg4_mult_64_per	TFm_0001.HK_neg_reg4_mult_128	TFm_0001.HK_neg_reg4_mult_128_per	r_TFm_0001.HK_neg_reg4_mult_conv2	TFm_0001.HK_neg_reg4_mult_conv	TFm_0001.HK_neg_reg4_mult_conv_per	TFm_0001.HK_neg_reg4__simp_cordo	TFm_0001.HK_neg_reg4__simp_cordo_per	TFm_0001.HK_neg_reg4_mult_linear	TFm_0001.HK_neg_reg4_mult_linear_per	r_TFm_0001.HK_neg_reg4_mult_dense2	TFm_0001.HK_neg_reg4_mult_lstm	TFm_0001.HK_neg_reg4_mult_lstm_per	TFm_0001.HK_neg_reg4__mult_gru	TFm_0001.HK_neg_reg4__mult_gru_per
acc_per	84.17	-1.0	90.61	-1.0	94.55	-1.0	-1	91.89	-1.0	86.06	-1.0	79.32	-1.0	-1	99.32	-1.0	90.23	-1.0
loss	0.39	-1.0	0.25	-1.0	0.16	-1.0	-1	0.23	-1.0	0.34	-1.0	0.45	-1.0	-1	0.03	-1.0	0.24	-1.0
epochs	11	-1.0	8	-1.0	8	-1.0	-1	8	-1.0	23	-1.0	14	-1.0	-1	89	-1.0	8	-1.0
df_test_%	9.2	-1.0	9.2	-1.0	9.2	-1.0	-1	9.2	-1.0	9.2	-1.0	9.1	-1.0	-1	36.1	-1.0	9.2	-1.0
positives	17	-1.0	17	-1.0	17	-1.0	-1	17	-1.0	17	-1.0	17	-1.0	-1	17	-1.0	17	-1.0
count	233.0	-1.0	233.0	-1.0	233.0	-1.0	-1	233.0	-1.0	233.0	-1.0	233.0	-1.0	-1	233.0	-1.0	233.0	-1.0
mean	0.4518	-1.0	0.5083	-1.0	0.4416	-1.0	-1	0.6336	-1.0	0.5089	-1.0	0.6171	-1.0	-1	0.0515	-1.0	0.4578	-1.0
std	0.1846	-1.0	0.1075	-1.0	0.1641	-1.0	-1	0.181	-1.0	0.362	-1.0	0.3115	-1.0	-1	0.2078	-1.0	0.2	-1.0
min	0.0941	-1.0	0.247	-1.0	0.1174	-1.0	-1	0.1907	-1.0	0.0311	-1.0	0.0003	-1.0	-1	0.0	-1.0	0.1673	-1.0
25%	0.2967	6.32	0.4228	6.9	0.3051	8.05	-1	0.4835	8.62	0.0742	8.0	0.3732	7.43	-1	0.0	7.3	0.2797	8.57
50%	0.4644	6.03	0.5035	6.9	0.4501	6.03	-1	0.6766	6.9	0.7179	9.4	0.7042	10.26	-1	0.0	7.3	0.4323	8.55
60%	0.5037	6.45	0.5358	6.45	0.4828	5.38	-1	0.7095	4.3	0.8003	9.68	0.7737	8.6	-1	0.0	7.3	0.5094	7.53
70%	0.5651	4.29	0.5664	4.23	0.5312	4.29	-1	0.7534	4.29	0.8296	10.0	0.8701	5.71	-1	0.0	7.3	0.6097	7.14
75%	0.5795	3.39	0.5918	3.39	0.57	3.39	-1	0.7713	3.45	0.8438	12.07	0.8963	5.08	-1	0.0	7.3	0.6448	6.78
80%	0.6317	4.26	0.6172	4.26	0.6178	4.26	-1	0.7963	4.26	0.8535	12.77	0.9181	4.26	-1	0.0001	23.4	0.6654	8.51
85%	0.6632	5.71	0.6429	5.71	0.635	5.71	-1	0.8309	5.71	0.8657	8.57	0.9334	5.71	-1	0.0007	28.57	0.6926	8.57
86%	0.665	6.06	0.6456	6.06	0.638	6.06	-1	0.8381	6.06	0.8662	8.82	0.9366	6.06	-1	0.0011	29.41	0.6985	9.09
87%	0.6763	6.45	0.6503	6.45	0.6487	6.45	-1	0.8392	6.45	0.8663	9.38	0.94	6.45	-1	0.0013	32.26	0.7038	9.68
88%	0.6804	7.14	0.6511	7.14	0.6497	7.14	-1	0.8425	7.14	0.8682	7.14	0.9405	7.14	-1	0.0025	31.03	0.7157	7.14
89%	0.684	7.69	0.6535	7.69	0.6526	7.69	-1	0.8459	7.69	0.8706	7.69	0.9494	7.69	-1	0.0042	30.77	0.7279	7.69
90%	0.6922	8.33	0.659	8.33	0.6587	8.33	-1	0.8478	8.33	0.871	8.33	0.9545	8.33	-1	0.0062	33.33	0.7344	8.33
91%	0.7017	9.52	0.6603	9.52	0.6633	9.52	-1	0.8496	9.52	0.8726	9.52	0.9584	9.09	-1	0.0133	38.1	0.7491	9.52
92%	0.7106	10.53	0.6631	10.53	0.6652	10.53	-1	0.8554	10.53	0.879	10.53	0.9633	10.53	-1	0.0168	42.11	0.7542	10.53
93%	0.7182	11.76	0.6677	11.76	0.669	11.76	-1	0.8646	11.76	0.8803	11.76	0.9688	11.76	-1	0.0234	41.18	0.7676	11.76
94%	0.7294	14.29	0.6723	14.29	0.7007	14.29	-1	0.8705	14.29	0.8848	13.33	0.979	14.29	-1	0.1155	42.86	0.7768	14.29
95%	0.741	16.67	0.6769	16.67	0.7056	16.67	-1	0.881	16.67	0.886	16.67	0.9825	16.67	-1	0.4839	50.0	0.7835	16.67
96%	0.7635	20.0	0.6792	20.0	0.719	20.0	-1	0.8835	20.0	0.8894	20.0	0.986	20.0	-1	0.7687	60.0	0.7931	20.0
97%	0.7909	12.5	0.685	28.57	0.7332	28.57	-1	0.8967	28.57	0.8915	28.57	0.9894	28.57	-1	0.9949	57.14	0.7964	28.57
98%	0.7958	20.0	0.6948	20.0	0.7496	40.0	-1	0.9053	40.0	0.8953	40.0	0.9924	20.0	-1	0.9996	60.0	0.8259	40.0
max	0.8468	-1.0	0.739	-1.0	0.8282	-1.0	-1	0.9257	-1.0	0.8974	-1.0	0.9967	-1.0	-1	1.0	-1.0	0.8739	-1.0
