	TFm_0002.HK_pos_low1_mult_28	TFm_0002.HK_pos_low1_mult_28_per	TFm_0002.HK_pos_low1_mult_64	TFm_0002.HK_pos_low1_mult_64_per	TFm_0002.HK_pos_low1_mult_128	TFm_0002.HK_pos_low1_mult_128_per	r_TFm_0002.HK_pos_low1_mult_conv2	TFm_0002.HK_pos_low1_mult_conv	TFm_0002.HK_pos_low1_mult_conv_per	TFm_0002.HK_pos_low1__simp_cordo	TFm_0002.HK_pos_low1__simp_cordo_per	TFm_0002.HK_pos_low1_mult_linear	TFm_0002.HK_pos_low1_mult_linear_per	TFm_0002.HK_pos_low1_mult_dense2	TFm_0002.HK_pos_low1_mult_dense2_per	TFm_0002.HK_pos_low1_mult_lstm	TFm_0002.HK_pos_low1_mult_lstm_per	TFm_0002.HK_pos_low1__mult_gru	TFm_0002.HK_pos_low1__mult_gru_per
acc_per	90.61	-1.0	92.93	-1.0	96.43	-1.0	-1	98.84	-1.0	90.68	-1.0	80.98	-1.0	92.08	-1.0	98.60	-1.0	94.18	-1.0
loss	0.24	-1.0	0.17	-1.0	0.11	-1.0	-1	0.04	-1.0	0.28	-1.0	0.43	-1.0	0.21	-1.0	0.04	-1.0	0.15	-1.0
epochs	11	-1.0	8	-1.0	8	-1.0	-1	11	-1.0	14	-1.0	8	-1.0	17	-1.0	18	-1.0	8	-1.0
df_test_%	9.4	-1.0	5.3	-1.0	15.0	-1.0	-1	4.7	-1.0	9.4	-1.0	9.9	-1.0	11.4	-1.0	9.4	-1.0	9.4	-1.0
positives	10	-1.0	10	-1.0	10	-1.0	-1	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0
count	227.0	-1.0	227.0	-1.0	227.0	-1.0	-1	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0
mean	0.3519	-1.0	0.3689	-1.0	0.4032	-1.0	-1	0.3363	-1.0	0.4473	-1.0	0.6075	-1.0	0.2992	-1.0	0.1712	-1.0	0.406	-1.0
std	0.2897	-1.0	0.2305	-1.0	0.2415	-1.0	-1	0.2834	-1.0	0.34	-1.0	0.2401	-1.0	0.3655	-1.0	0.3055	-1.0	0.3191	-1.0
min	0.007	-1.0	0.0417	-1.0	0.0415	-1.0	-1	0.0021	-1.0	0.0998	-1.0	0.1015	-1.0	0.0	-1.0	0.0	-1.0	0.0383	-1.0
25%	0.0967	4.71	0.1706	4.71	0.1883	5.29	-1	0.0954	4.71	0.1137	4.12	0.403	4.12	0.0019	4.71	0.0004	4.76	0.1002	4.71
50%	0.2397	5.31	0.2958	5.31	0.3415	6.19	-1	0.2609	3.54	0.2638	4.35	0.6268	5.26	0.0574	7.02	0.0077	5.26	0.2894	4.39
60%	0.3706	6.59	0.3991	5.49	0.4378	6.59	-1	0.3719	4.4	0.5936	4.4	0.7336	5.49	0.1636	7.69	0.0314	5.49	0.4801	5.49
70%	0.5474	4.41	0.5101	5.88	0.5703	8.82	-1	0.4788	4.41	0.7815	4.41	0.7972	5.88	0.5807	8.82	0.0888	5.88	0.6689	4.41
75%	0.6067	5.26	0.5815	7.02	0.6063	7.02	-1	0.5286	5.26	0.8414	5.26	0.8389	7.02	0.6618	10.53	0.1405	7.02	0.7428	3.51
80%	0.66	6.52	0.6185	8.7	0.6553	8.7	-1	0.6177	4.35	0.8633	4.35	0.8619	8.7	0.7624	13.04	0.3104	8.7	0.8154	4.35
85%	0.7315	5.88	0.6789	5.88	0.6985	11.76	-1	0.7093	2.94	0.8914	5.88	0.88	11.76	0.8367	11.76	0.5313	5.88	0.8407	5.88
86%	0.7407	6.25	0.6968	6.25	0.7169	12.5	-1	0.7313	3.12	0.8959	6.25	0.885	9.38	0.8401	9.38	0.5482	6.25	0.8519	6.25
87%	0.7539	6.67	0.7003	6.67	0.7354	13.33	-1	0.749	3.33	0.8966	6.67	0.8875	10.0	0.8542	10.0	0.583	6.67	0.8579	6.67
88%	0.7597	7.14	0.7023	7.14	0.7484	14.29	-1	0.7591	3.57	0.8989	7.14	0.8904	10.71	0.8628	10.71	0.7057	7.14	0.8604	7.14
89%	0.7883	8.0	0.7033	4.0	0.76	16.0	-1	0.7625	4.0	0.9016	8.0	0.8933	8.0	0.8757	12.0	0.7235	8.0	0.8646	8.0
90%	0.8278	8.7	0.7062	4.35	0.7691	17.39	-1	0.7912	4.35	0.9059	8.7	0.8967	8.7	0.8819	13.04	0.7301	8.7	0.874	8.7
91%	0.8513	9.52	0.7148	4.76	0.7813	14.29	-1	0.808	4.76	0.9116	9.52	0.9013	9.52	0.8918	9.52	0.7906	9.52	0.8778	9.52
