	TFm_0020.HK_neg_low1_mult_28	TFm_0020.HK_neg_low1_mult_28_per	TFm_0020.HK_neg_low1_mult_64	TFm_0020.HK_neg_low1_mult_64_per	TFm_0020.HK_neg_low1_mult_128	TFm_0020.HK_neg_low1_mult_128_per	r_TFm_0020.HK_neg_low1_mult_conv2	TFm_0020.HK_neg_low1_mult_conv	TFm_0020.HK_neg_low1_mult_conv_per	TFm_0020.HK_neg_low1__simp_cordo	TFm_0020.HK_neg_low1__simp_cordo_per	TFm_0020.HK_neg_low1_mult_linear	TFm_0020.HK_neg_low1_mult_linear_per	TFm_0020.HK_neg_low1_mult_dense2	TFm_0020.HK_neg_low1_mult_dense2_per	TFm_0020.HK_neg_low1_mult_lstm	TFm_0020.HK_neg_low1_mult_lstm_per	TFm_0020.HK_neg_low1__mult_gru	TFm_0020.HK_neg_low1__mult_gru_per
acc_per	85.36	-1.0	93.36	-1.0	96.55	-1.0	-1	99.82	-1.0	84.64	-1.0	74.18	-1.0	82.73	-1.0	91.64	-1.0	93.36	-1.0
loss	0.38	-1.0	0.22	-1.0	0.10	-1.0	-1	0.02	-1.0	0.37	-1.0	0.51	-1.0	0.37	-1.0	0.21	-1.0	0.17	-1.0
epochs	8	-1.0	12	-1.0	10	-1.0	-1	16	-1.0	16	-1.0	15	-1.0	8	-1.0	8	-1.0	16	-1.0
df_test_%	16.3	-1.0	32.0	-1.0	39.1	-1.0	-1	10.9	-1.0	34.1	-1.0	35.0	-1.0	26.7	-1.0	24.2	-1.0	33.4	-1.0
positives	16	-1.0	16	-1.0	16	-1.0	-1	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0	16	-1.0
count	198.0	-1.0	198.0	-1.0	198.0	-1.0	-1	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0
mean	0.5922	-1.0	0.4895	-1.0	0.452	-1.0	-1	0.3756	-1.0	0.5377	-1.0	0.8264	-1.0	0.6069	-1.0	0.5665	-1.0	0.466	-1.0
std	0.0621	-1.0	0.2098	-1.0	0.1927	-1.0	-1	0.3163	-1.0	0.2828	-1.0	0.2244	-1.0	0.1154	-1.0	0.0349	-1.0	0.3761	-1.0
min	0.4065	-1.0	0.0276	-1.0	0.0862	-1.0	-1	0.0002	-1.0	0.0144	-1.0	0.0132	-1.0	0.0428	-1.0	0.3847	-1.0	0.0017	-1.0
25%	0.5537	9.46	0.3208	10.14	0.2997	10.14	-1	0.0744	9.46	0.2452	9.46	0.7782	9.46	0.5843	10.14	0.561	10.14	0.0777	10.81
