	TFm_0020.HK_pos_reg4_mult_28	TFm_0020.HK_pos_reg4_mult_28_per	TFm_0020.HK_pos_reg4_mult_64	TFm_0020.HK_pos_reg4_mult_64_per	TFm_0020.HK_pos_reg4_mult_128	TFm_0020.HK_pos_reg4_mult_128_per	r_TFm_0020.HK_pos_reg4_mult_conv2	TFm_0020.HK_pos_reg4_mult_conv	TFm_0020.HK_pos_reg4_mult_conv_per	TFm_0020.HK_pos_reg4__simp_cordo	TFm_0020.HK_pos_reg4__simp_cordo_per	TFm_0020.HK_pos_reg4_mult_linear	TFm_0020.HK_pos_reg4_mult_linear_per	TFm_0020.HK_pos_reg4_mult_dense2	TFm_0020.HK_pos_reg4_mult_dense2_per	TFm_0020.HK_pos_reg4_mult_lstm	TFm_0020.HK_pos_reg4_mult_lstm_per	TFm_0020.HK_pos_reg4__mult_gru	TFm_0020.HK_pos_reg4__mult_gru_per
acc_per	89.64	-1.0	95.91	-1.0	97.73	-1.0	-1	98.64	-1.0	89.82	-1.0	86.27	-1.0	94.45	-1.0	97.00	-1.0	95.64	-1.0
loss	0.29	-1.0	0.14	-1.0	0.07	-1.0	-1	0.06	-1.0	0.29	-1.0	0.36	-1.0	0.15	-1.0	0.09	-1.0	0.13	-1.0
epochs	8	-1.0	11	-1.0	9	-1.0	-1	11	-1.0	19	-1.0	20	-1.0	11	-1.0	9	-1.0	9	-1.0
df_test_%	17.0	-1.0	15.6	-1.0	24.1	-1.0	-1	23.2	-1.0	17.3	-1.0	14.1	-1.0	5.4	-1.0	16.4	-1.0	27.3	-1.0
positives	9	-1.0	9	-1.0	9	-1.0	-1	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0
count	198.0	-1.0	198.0	-1.0	198.0	-1.0	-1	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0	198.0	-1.0
mean	0.5618	-1.0	0.5882	-1.0	0.3278	-1.0	-1	0.3162	-1.0	0.5308	-1.0	0.8333	-1.0	0.43	-1.0	0.5185	-1.0	0.4903	-1.0
std	0.0852	-1.0	0.2209	-1.0	0.2056	-1.0	-1	0.2302	-1.0	0.3391	-1.0	0.2595	-1.0	0.3681	-1.0	0.2332	-1.0	0.3418	-1.0
min	0.3756	-1.0	0.1048	-1.0	0.0185	-1.0	-1	0.0158	-1.0	0.0944	-1.0	0.0047	-1.0	0.0	-1.0	0.0724	-1.0	0.0156	-1.0
25%	0.5048	5.41	0.4235	6.08	0.1747	6.08	-1	0.1218	4.73	0.1574	6.08	0.8268	6.08	0.0284	6.08	0.3326	4.73	0.127	6.08
50%	0.5547	6.06	0.6343	8.08	0.2981	7.07	-1	0.2561	7.07	0.5772	6.06	0.9478	8.16	0.4609	8.08	0.541	7.07	0.4746	9.09
60%	0.5851	7.59	0.6872	10.13	0.3497	8.86	-1	0.3253	8.86	0.7087	7.59	0.9693	8.75	0.5692	8.86	0.6041	8.86	0.6804	8.86
70%	0.6031	10.0	0.7369	13.33	0.3973	11.67	-1	0.4166	10.0	0.8414	8.33	0.9822	10.0	0.7013	8.33	0.652	8.33	0.7993	11.67
75%	0.6127	12.0	0.758	16.0	0.4388	12.0	-1	0.4729	10.0	0.8798	10.0	0.988	10.0	0.7496	6.0	0.6939	8.0	0.8263	14.0
80%	0.6359	15.0	0.7816	15.0	0.4818	15.0	-1	0.5551	12.5	0.9194	10.0	0.992	12.5	0.8291	7.5	0.7439	10.0	0.8617	17.5
85%	0.6613	16.67	0.8152	20.0	0.5281	16.67	-1	0.6001	16.67	0.9371	13.33	0.9946	13.79	0.9304	6.67	0.7819	13.33	0.9091	23.33
86%	0.6645	17.86	0.8247	17.86	0.5388	17.86	-1	0.6105	17.86	0.9379	14.29	0.9949	14.29	0.9336	7.14	0.7983	14.29	0.9135	25.0
87%	0.6694	19.23	0.8312	19.23	0.5563	19.23	-1	0.6187	19.23	0.9421	15.38	0.9953	15.38	0.9394	7.69	0.7996	15.38	0.9147	26.92
88%	0.6772	16.67	0.8409	16.67	0.584	20.83	-1	0.6412	20.83	0.9446	16.67	0.9955	12.5	0.9492	4.17	0.8045	16.67	0.9205	25.0
89%	0.6797	13.64	0.8451	18.18	0.6136	22.73	-1	0.6547	22.73	0.9463	18.18	0.9959	13.64	0.9581	4.55	0.8108	18.18	0.9284	27.27
90%	0.6813	15.0	0.8539	15.0	0.64	25.0	-1	0.6604	20.0	0.9469	19.05	0.9966	15.0	0.9625	5.0	0.8179	20.0	0.934	30.0
91%	0.6865	16.67	0.8638	16.67	0.6672	22.22	-1	0.6721	22.22	0.948	16.67	0.997	15.79	0.9671	5.26	0.8219	16.67	0.9386	27.78
92%	0.6923	18.75	0.8725	12.5	0.6872	25.0	-1	0.6936	25.0	0.9538	18.75	0.9976	13.33	0.9683	6.25	0.8315	12.5	0.9463	25.0
93%	0.6986	21.43	0.8775	14.29	0.6962	28.57	-1	0.731	28.57	0.955	14.29	0.9982	14.29	0.983	7.14	0.8691	14.29	0.9475	28.57
94%	0.7032	25.0	0.8856	8.33	0.7119	25.0	-1	0.736	33.33	0.9572	8.33	0.9985	7.69	0.9852	8.33	0.8813	16.67	0.949	33.33
95%	0.704	30.0	0.8978	10.0	0.7194	20.0	-1	0.7487	30.0	0.9588	10.0	0.9989	10.0	0.9877	10.0	0.8866	10.0	0.9516	30.0
96%	0.7059	25.0	0.9148	0.0	0.756	12.5	-1	0.7836	25.0	0.9613	12.5	0.9995	11.11	0.9915	12.5	0.903	12.5	0.9544	37.5
97%	0.7206	33.33	0.9341	0.0	0.8095	16.67	-1	0.8198	16.67	0.9637	16.67	0.9997	0.0	0.9924	16.67	0.9186	16.67	0.9557	16.67
98%	0.7432	50.0	0.9475	0.0	0.8728	25.0	-1	0.8313	0.0	0.9646	0.0	0.9999	0.0	0.9977	0.0	0.929	25.0	0.9562	25.0
