	TFm_1008.HK_neg_good9_mult_28	TFm_1008.HK_neg_good9_mult_28_per	TFm_1008.HK_neg_good9_mult_64	TFm_1008.HK_neg_good9_mult_64_per	TFm_1008.HK_neg_good9_mult_128	TFm_1008.HK_neg_good9_mult_128_per	TFm_1008.HK_neg_good9_mult_conv2	TFm_1008.HK_neg_good9_mult_conv2_per	TFm_1008.HK_neg_good9_mult_conv	TFm_1008.HK_neg_good9_mult_conv_per	TFm_1008.HK_neg_good9__simp_cordo	TFm_1008.HK_neg_good9__simp_cordo_per	TFm_1008.HK_neg_good9_mult_linear	TFm_1008.HK_neg_good9_mult_linear_per	TFm_1008.HK_neg_good9_mult_dense2	TFm_1008.HK_neg_good9_mult_dense2_per	TFm_1008.HK_neg_good9_mult_lstm	TFm_1008.HK_neg_good9_mult_lstm_per	TFm_1008.HK_neg_good9__mult_gru	TFm_1008.HK_neg_good9__mult_gru_per
acc_per	69.50	-1.0	66.00	-1.0	73.00	-1.0	62.00	-1.0	68.00	-1.0	66.50	-1.0	64.50	-1.0	77.00	-1.0	72.50	-1.0	72.00	-1.0
loss	0.58	-1.0	0.58	-1.0	0.54	-1.0	0.67	-1.0	0.52	-1.0	0.61	-1.0	0.63	-1.0	0.43	-1.0	0.52	-1.0	0.56	-1.0
epochs	9	-1.0	8	-1.0	8	-1.0	8	-1.0	10	-1.0	8	-1.0	24	-1.0	25	-1.0	10	-1.0	8	-1.0
df_test_%	15.0	-1.0	6.7	-1.0	0.0	-1.0	3.3	-1.0	0.0	-1.0	16.7	-1.0	26.1	-1.0	26.1	-1.0	15.0	-1.0	26.1	-1.0
positives	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0	5	-1.0
count	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0	38.0	-1.0
mean	0.6095	-1.0	0.504	-1.0	0.5128	-1.0	0.8651	-1.0	0.4722	-1.0	0.5933	-1.0	0.5889	-1.0	0.5802	-1.0	0.574	-1.0	0.514	-1.0
std	0.0304	-1.0	0.1687	-1.0	0.2325	-1.0	0.0463	-1.0	0.2252	-1.0	0.0003	-1.0	0.245	-1.0	0.3089	-1.0	0.1566	-1.0	0.1573	-1.0
min	0.5432	-1.0	0.2746	-1.0	0.1959	-1.0	0.8004	-1.0	0.1832	-1.0	0.5929	-1.0	0.191	-1.0	0.0014	-1.0	0.3094	-1.0	0.3184	-1.0
25%	0.5914	10.71	0.3491	17.86	0.2847	17.86	0.8219	17.86	0.2559	17.86	0.5931	16.67	0.3654	17.86	0.4186	17.86	0.4355	17.86	0.3549	17.86
50%	0.6116	15.79	0.4592	21.05	0.4573	21.05	0.857	26.32	0.4287	26.32	0.5932	20.0	0.6198	21.05	0.6276	5.26	0.5662	26.32	0.4779	26.32
60%	0.6164	13.33	0.59	13.33	0.7148	20.0	0.9008	20.0	0.6559	20.0	0.5935	15.38	0.6865	13.33	0.757	6.67	0.7132	25.0	0.6156	20.0
70%	0.6202	8.33	0.672	8.33	0.742	8.33	0.9116	8.33	0.691	16.67	0.5935	15.38	0.8024	8.33	0.8148	8.33	0.7279	9.09	0.6795	8.33
75%	0.6218	10.0	0.6799	10.0	0.7479	10.0	0.913	10.0	0.704	10.0	0.5935	15.38	0.8208	10.0	0.8455	10.0	0.7281	10.0	0.6806	10.0
80%	0.625	12.5	0.6962	12.5	0.7541	12.5	0.9142	12.5	0.7106	0.0	0.5935	15.38	0.8548	12.5	0.8667	12.5	0.729	12.5	0.6818	12.5
85%	0.6292	16.67	0.7064	16.67	0.7594	16.67	0.9167	16.67	0.7224	0.0	0.5936	16.67	0.8713	16.67	0.888	16.67	0.7318	16.67	0.6941	16.67
86%	0.6304	16.67	0.7091	16.67	0.7596	16.67	0.9171	16.67	0.7225	0.0	0.5936	16.67	0.8758	16.67	0.8986	16.67	0.732	16.67	0.7025	16.67
87%	0.6359	20.0	0.7112	20.0	0.7601	0.0	0.9174	20.0	0.7232	0.0	0.5936	16.67	0.8788	20.0	0.9042	20.0	0.7322	20.0	0.7067	20.0
88%	0.6453	20.0	0.7126	20.0	0.7609	0.0	0.9174	20.0	0.7246	0.0	0.5936	16.67	0.8803	20.0	0.9051	20.0	0.7323	20.0	0.7071	20.0
89%	0.6547	20.0	0.714	20.0	0.7617	0.0	0.9175	0.0	0.7259	0.0	0.5936	16.67	0.8818	20.0	0.9059	20.0	0.7324	20.0	0.7075	20.0
90%	0.657	25.0	0.715	0.0	0.762	0.0	0.9178	0.0	0.7265	0.0	0.5936	16.67	0.8835	25.0	0.9134	25.0	0.7332	25.0	0.7079	25.0
91%	0.6576	25.0	0.7159	0.0	0.7622	0.0	0.9183	0.0	0.727	0.0	0.5936	16.67	0.8852	25.0	0.9225	25.0	0.7342	25.0	0.7084	25.0
92%	0.6583	0.0	0.717	0.0	0.7627	0.0	0.9187	0.0	0.7275	0.0	0.5936	16.67	0.8884	33.33	0.9307	33.33	0.7351	0.0	0.7088	33.33
93%	0.6601	0.0	0.7198	0.0	0.7644	0.0	0.919	0.0	0.7292	0.0	0.5936	16.67	0.9046	33.33	0.9321	33.33	0.7354	0.0	0.7089	33.33
94%	0.6619	0.0	0.7226	0.0	0.7662	0.0	0.9193	0.0	0.7309	0.0	0.5937	0.0	0.9207	33.33	0.9335	33.33	0.7358	0.0	0.7091	33.33
95%	0.6632	0.0	0.7249	0.0	0.7674	0.0	0.9195	0.0	0.7335	0.0	0.5937	0.0	0.9329	50.0	0.9376	50.0	0.736	0.0	0.7092	50.0
96%	0.6638	0.0	0.7264	0.0	0.7676	0.0	0.9197	0.0	0.7375	0.0	0.5937	0.0	0.9393	50.0	0.9457	50.0	0.7362	0.0	0.7094	50.0
97%	0.6644	0.0	0.7279	0.0	0.7679	0.0	0.9198	0.0	0.7414	0.0	0.5937	0.0	0.9458	50.0	0.9538	50.0	0.7364	0.0	0.7095	50.0
98%	0.6706	0.0	0.7287	0.0	0.7745	0.0	0.9208	0.0	0.7468	0.0	0.5937	0.0	0.9527	100.0	0.963	100.0	0.7367	0.0	0.7116	0.0
max	0.6876	-1.0	0.7299	-1.0	0.7929	-1.0	0.9237	-1.0	0.7587	-1.0	0.5938	-1.0	0.9669	-1.0	0.9825	-1.0	0.7373	-1.0	0.7172	-1.0
