	TFm_1008.HK_neg_low1_mult_28	TFm_1008.HK_neg_low1_mult_28_per	TFm_1008.HK_neg_low1_mult_64	TFm_1008.HK_neg_low1_mult_64_per	TFm_1008.HK_neg_low1_mult_128	TFm_1008.HK_neg_low1_mult_128_per	TFm_1008.HK_neg_low1_mult_conv2	TFm_1008.HK_neg_low1_mult_conv2_per	TFm_1008.HK_neg_low1_mult_conv	TFm_1008.HK_neg_low1_mult_conv_per	TFm_1008.HK_neg_low1__simp_cordo	TFm_1008.HK_neg_low1__simp_cordo_per	TFm_1008.HK_neg_low1_mult_linear	TFm_1008.HK_neg_low1_mult_linear_per	TFm_1008.HK_neg_low1_mult_dense2	TFm_1008.HK_neg_low1_mult_dense2_per	TFm_1008.HK_neg_low1_mult_lstm	TFm_1008.HK_neg_low1_mult_lstm_per	TFm_1008.HK_neg_low1__mult_gru	TFm_1008.HK_neg_low1__mult_gru_per
acc_per	86.21	-1.0	90.52	-1.0	93.10	-1.0	69.83	-1.0	88.79	-1.0	86.21	-1.0	75.86	-1.0	81.90	-1.0	88.79	-1.0	87.93	-1.0
loss	0.31	-1.0	0.39	-1.0	0.18	-1.0	0.70	-1.0	0.25	-1.0	0.48	-1.0	0.52	-1.0	0.38	-1.0	0.28	-1.0	0.28	-1.0
epochs	18	-1.0	8	-1.0	12	-1.0	14	-1.0	11	-1.0	8	-1.0	15	-1.0	9	-1.0	14	-1.0	9	-1.0
df_test_%	16.7	-1.0	16.7	-1.0	16.7	-1.0	16.7	-1.0	16.7	-1.0	16.7	-1.0	16.7	-1.0	16.7	-1.0	16.7	-1.0	16.7	-1.0
positives	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0
count	23.0	-1.0	23.0	-1.0	23.0	-1.0	23.0	-1.0	23.0	-1.0	23.0	-1.0	23.0	-1.0	23.0	-1.0	23.0	-1.0	23.0	-1.0
mean	0.4007	-1.0	0.6844	-1.0	0.4801	-1.0	0.7816	-1.0	0.7169	-1.0	0.5074	-1.0	0.8073	-1.0	0.4653	-1.0	0.6022	-1.0	0.4586	-1.0
std	0.3452	-1.0	0.1161	-1.0	0.3811	-1.0	0.2002	-1.0	0.2629	-1.0	0.0032	-1.0	0.195	-1.0	0.357	-1.0	0.2869	-1.0	0.3702	-1.0
min	0.0472	-1.0	0.5147	-1.0	0.0395	-1.0	0.4218	-1.0	0.2731	-1.0	0.5039	-1.0	0.4157	-1.0	0.0243	-1.0	0.1204	-1.0	0.0689	-1.0
25%	0.0931	17.65	0.5742	17.65	0.1354	17.65	0.6695	17.65	0.534	17.65	0.505	15.79	0.654	17.65	0.1503	17.65	0.341	17.65	0.1178	17.65
50%	0.1718	27.27	0.6739	16.67	0.2794	25.0	0.7376	25.0	0.6728	25.0	0.506	27.27	0.8703	27.27	0.3266	27.27	0.6571	25.0	0.2122	25.0
60%	0.4571	33.33	0.6824	11.11	0.7096	33.33	0.9061	33.33	0.9061	33.33	0.5062	33.33	0.9239	33.33	0.5977	33.33	0.8297	33.33	0.6547	33.33
70%	0.6886	42.86	0.7184	14.29	0.7939	42.86	0.9685	28.57	0.9637	28.57	0.5085	28.57	0.986	16.67	0.7404	28.57	0.8603	28.57	0.8476	28.57
75%	0.7362	33.33	0.758	16.67	0.8796	50.0	0.9812	33.33	0.9771	33.33	0.5097	16.67	0.9867	16.67	0.7855	16.67	0.8634	16.67	0.8725	33.33
80%	0.7887	40.0	0.7782	20.0	0.9153	40.0	0.9837	20.0	0.9839	20.0	0.5112	20.0	0.9932	20.0	0.8241	20.0	0.8665	20.0	0.8911	20.0
85%	0.8443	25.0	0.8112	25.0	0.943	50.0	0.9892	25.0	0.987	25.0	0.5117	25.0	0.9972	25.0	0.9049	25.0	0.8707	25.0	0.8978	25.0
86%	0.8593	25.0	0.8207	25.0	0.9467	50.0	0.9904	25.0	0.9878	25.0	0.5117	25.0	0.9972	25.0	0.9296	25.0	0.8715	25.0	0.8995	25.0
87%	0.8705	33.33	0.828	33.33	0.95	33.33	0.9914	33.33	0.9888	33.33	0.5118	33.33	0.9974	33.33	0.9414	33.33	0.8727	33.33	0.9007	33.33
88%	0.8797	33.33	0.834	33.33	0.953	33.33	0.9921	33.33	0.9899	33.33	0.5119	33.33	0.9976	33.33	0.9457	33.33	0.8742	33.33	0.9018	33.33
89%	0.8888	33.33	0.84	33.33	0.9561	33.33	0.9929	33.33	0.9911	33.33	0.5119	33.33	0.9978	33.33	0.9499	33.33	0.8757	33.33	0.9028	33.33
90%	0.8979	33.33	0.8461	33.33	0.9591	33.33	0.9936	33.33	0.9923	33.33	0.512	33.33	0.998	33.33	0.9542	33.33	0.8771	33.33	0.9038	33.33
