	TFm_1008.HK_neg_vgood16_mult_28	TFm_1008.HK_neg_vgood16_mult_28_per	TFm_1008.HK_neg_vgood16_mult_64	TFm_1008.HK_neg_vgood16_mult_64_per	TFm_1008.HK_neg_vgood16_mult_128	TFm_1008.HK_neg_vgood16_mult_128_per	TFm_1008.HK_neg_vgood16_mult_conv2	TFm_1008.HK_neg_vgood16_mult_conv2_per	TFm_1008.HK_neg_vgood16_mult_conv	TFm_1008.HK_neg_vgood16_mult_conv_per	r_TFm_1008.HK_neg_vgood16__simp_cordo	TFm_1008.HK_neg_vgood16_mult_linear	TFm_1008.HK_neg_vgood16_mult_linear_per	TFm_1008.HK_neg_vgood16_mult_dense2	TFm_1008.HK_neg_vgood16_mult_dense2_per	TFm_1008.HK_neg_vgood16_mult_lstm	TFm_1008.HK_neg_vgood16_mult_lstm_per	TFm_1008.HK_neg_vgood16__mult_gru	TFm_1008.HK_neg_vgood16__mult_gru_per
acc_per	66.09	-1.0	90.00	-1.0	85.22	-1.0	87.83	-1.0	77.39	-1.0	-1	73.91	-1.0	78.70	-1.0	81.74	-1.0	76.09	-1.0
loss	0.62	-1.0	0.26	-1.0	0.36	-1.0	0.30	-1.0	0.48	-1.0	-1	0.55	-1.0	0.43	-1.0	0.40	-1.0	0.44	-1.0
epochs	8	-1.0	39	-1.0	20	-1.0	28	-1.0	8	-1.0	-1	8	-1.0	13	-1.0	8	-1.0	11	-1.0
df_test_%	0.0	-1.0	21.9	-1.0	21.9	-1.0	21.9	-1.0	0.0	-1.0	-1	0.0	-1.0	0.0	-1.0	21.9	-1.0	23.3	-1.0
positives	3	-1.0	3	-1.0	3	-1.0	3	-1.0	3	-1.0	-1	3	-1.0	3	-1.0	3	-1.0	3	-1.0
count	44.0	-1.0	44.0	-1.0	44.0	-1.0	44.0	-1.0	44.0	-1.0	-1	44.0	-1.0	44.0	-1.0	44.0	-1.0	44.0	-1.0
mean	0.7018	-1.0	0.282	-1.0	0.2875	-1.0	0.2804	-1.0	0.5751	-1.0	-1	0.5329	-1.0	0.3568	-1.0	0.5605	-1.0	0.3279	-1.0
std	0.0156	-1.0	0.393	-1.0	0.363	-1.0	0.3936	-1.0	0.0502	-1.0	-1	0.0146	-1.0	0.2915	-1.0	0.2197	-1.0	0.3448	-1.0
min	0.6694	-1.0	0.0	-1.0	0.0009	-1.0	0.0	-1.0	0.5031	-1.0	-1	0.4923	-1.0	0.0537	-1.0	0.3178	-1.0	0.0446	-1.0
25%	0.6934	6.06	0.0009	9.09	0.0157	9.09	0.0002	9.38	0.532	6.06	-1	0.5214	6.06	0.0909	9.09	0.3709	9.09	0.069	9.09
50%	0.6954	4.55	0.0028	9.09	0.0388	9.09	0.0016	9.09	0.5878	9.09	-1	0.5337	9.09	0.2126	9.09	0.4522	9.09	0.0919	9.09
60%	0.6977	0.0	0.0045	11.11	0.0515	11.11	0.0028	11.76	0.5908	5.56	-1	0.5384	5.88	0.3203	11.11	0.5317	11.11	0.1444	11.11
70%	0.6998	0.0	0.7443	7.14	0.7341	15.38	0.7172	15.38	0.6003	7.69	-1	0.5404	7.69	0.6882	15.38	0.743	15.38	0.4774	15.38
75%	0.7017	0.0	0.763	9.09	0.7436	9.09	0.7507	18.18	0.6054	9.09	-1	0.543	0.0	0.6985	18.18	0.8447	9.09	0.8217	18.18
80%	0.7133	0.0	0.7804	11.11	0.7653	11.11	0.7685	11.11	0.6121	0.0	-1	0.5448	0.0	0.7179	22.22	0.8593	11.11	0.829	11.11
85%	0.7251	0.0	0.7927	14.29	0.7659	14.29	0.8184	14.29	0.6255	0.0	-1	0.5481	0.0	0.7316	14.29	0.8672	14.29	0.8351	14.29
86%	0.7256	0.0	0.7947	14.29	0.7661	16.67	0.834	14.29	0.6256	0.0	-1	0.5484	0.0	0.7317	14.29	0.8681	14.29	0.838	14.29
87%	0.7262	0.0	0.7985	16.67	0.7713	16.67	0.8475	16.67	0.6306	0.0	-1	0.5498	0.0	0.7318	0.0	0.8699	16.67	0.8383	16.67
88%	0.7268	0.0	0.8024	16.67	0.7767	16.67	0.8609	16.67	0.6357	0.0	-1	0.5513	0.0	0.7319	0.0	0.8717	16.67	0.8385	16.67
89%	0.7272	0.0	0.8268	20.0	0.7797	20.0	0.8753	20.0	0.6395	0.0	-1	0.552	0.0	0.7334	0.0	0.8726	20.0	0.8398	20.0
90%	0.7275	0.0	0.8634	20.0	0.7812	20.0	0.8903	20.0	0.6425	0.0	-1	0.5521	0.0	0.7357	0.0	0.8729	20.0	0.8418	20.0
91%	0.7278	0.0	0.8909	25.0	0.7885	25.0	0.9048	25.0	0.6466	0.0	-1	0.553	0.0	0.7398	0.0	0.8734	25.0	0.8434	25.0
92%	0.7285	0.0	0.8976	25.0	0.8091	25.0	0.918	25.0	0.6535	0.0	-1	0.5555	0.0	0.748	0.0	0.8743	25.0	0.844	25.0
93%	0.7292	0.0	0.9044	25.0	0.8297	25.0	0.9313	25.0	0.6603	0.0	-1	0.5579	0.0	0.7562	0.0	0.8753	25.0	0.8447	33.33
94%	0.7323	0.0	0.9093	33.33	0.8386	33.33	0.9321	33.33	0.6668	0.0	-1	0.5581	0.0	0.769	0.0	0.8763	33.33	0.8459	33.33
95%	0.7355	0.0	0.9142	33.33	0.8471	33.33	0.9326	33.33	0.6734	0.0	-1	0.5581	0.0	0.7819	0.0	0.8772	33.33	0.8472	33.33
96%	0.7368	0.0	0.9198	50.0	0.8525	0.0	0.9343	50.0	0.6759	0.0	-1	0.5582	0.0	0.7867	0.0	0.8795	0.0	0.8499	0.0
97%	0.7372	0.0	0.9256	50.0	0.8561	0.0	0.9366	50.0	0.6764	0.0	-1	0.5582	0.0	0.7871	0.0	0.8825	0.0	0.8535	0.0
98%	0.7376	0.0	0.9311	100.0	0.86	0.0	0.9387	0.0	0.6769	0.0	-1	0.5582	0.0	0.7906	0.0	0.8846	0.0	0.856	0.0
max	0.7381	-1.0	0.9409	-1.0	0.8687	-1.0	0.9414	-1.0	0.6784	-1.0	-1	0.5582	-1.0	0.8111	-1.0	0.8854	-1.0	0.857	-1.0
