	TFm_1088.HK_neg_reg4_mult_28	TFm_1088.HK_neg_reg4_mult_28_per	TFm_1088.HK_neg_reg4_mult_64	TFm_1088.HK_neg_reg4_mult_64_per	TFm_1088.HK_neg_reg4_mult_128	TFm_1088.HK_neg_reg4_mult_128_per	TFm_1088.HK_neg_reg4_mult_conv2	TFm_1088.HK_neg_reg4_mult_conv2_per	TFm_1088.HK_neg_reg4_mult_conv	TFm_1088.HK_neg_reg4_mult_conv_per	TFm_1088.HK_neg_reg4__simp_cordo	TFm_1088.HK_neg_reg4__simp_cordo_per	TFm_1088.HK_neg_reg4_mult_linear	TFm_1088.HK_neg_reg4_mult_linear_per	TFm_1088.HK_neg_reg4_mult_dense2	TFm_1088.HK_neg_reg4_mult_dense2_per	TFm_1088.HK_neg_reg4_mult_lstm	TFm_1088.HK_neg_reg4_mult_lstm_per	TFm_1088.HK_neg_reg4__mult_gru	TFm_1088.HK_neg_reg4__mult_gru_per
acc_per	70.32	-1.0	79.31	-1.0	81.65	-1.0	68.58	-1.0	79.31	-1.0	77.34	-1.0	68.58	-1.0	78.47	-1.0	77.34	-1.0	78.55	-1.0
loss	0.55	-1.0	0.42	-1.0	0.38	-1.0	0.96	-1.0	0.46	-1.0	0.47	-1.0	0.57	-1.0	0.43	-1.0	0.43	-1.0	0.43	-1.0
epochs	8	-1.0	14	-1.0	14	-1.0	19	-1.0	8	-1.0	23	-1.0	8	-1.0	32	-1.0	11	-1.0	15	-1.0
df_test_%	13.8	-1.0	25.6	-1.0	25.1	-1.0	17.1	-1.0	16.5	-1.0	7.7	-1.0	11.7	-1.0	18.9	-1.0	17.2	-1.0	21.1	-1.0
positives	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0	14	-1.0
count	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0	232.0	-1.0
mean	0.5772	-1.0	0.4715	-1.0	0.4812	-1.0	0.6788	-1.0	0.7031	-1.0	0.5092	-1.0	0.599	-1.0	0.5037	-1.0	0.5965	-1.0	0.5308	-1.0
std	0.1007	-1.0	0.3093	-1.0	0.3056	-1.0	0.3627	-1.0	0.1505	-1.0	0.2994	-1.0	0.1658	-1.0	0.3879	-1.0	0.2829	-1.0	0.2903	-1.0
min	0.2684	-1.0	0.004	-1.0	0.0001	-1.0	0.0001	-1.0	0.2543	-1.0	0.0071	-1.0	0.2956	-1.0	0.0	-1.0	0.0001	-1.0	0.0048	-1.0
25%	0.5984	8.05	0.1359	8.05	0.1713	8.05	0.3569	8.05	0.6115	8.05	0.1945	8.05	0.4324	8.05	0.0264	8.05	0.5495	8.05	0.2725	8.05
50%	0.6252	5.17	0.5819	12.07	0.5743	11.21	0.8371	11.21	0.7493	10.34	0.696	12.07	0.6188	10.34	0.6806	12.07	0.6888	12.07	0.6809	9.48
60%	0.6273	5.43	0.6504	12.9	0.6754	12.9	0.9279	11.83	0.7834	11.83	0.7313	12.9	0.6722	12.9	0.7637	12.9	0.7359	12.9	0.7102	10.75
70%	0.6294	7.14	0.7228	15.71	0.7213	15.71	0.9716	13.04	0.8099	12.86	0.7378	12.86	0.7287	12.86	0.8513	15.71	0.7868	15.71	0.726	14.29
75%	0.6303	8.62	0.7344	15.52	0.7408	18.97	0.9817	15.52	0.8223	15.52	0.7434	13.79	0.7455	12.07	0.8864	15.52	0.8084	18.97	0.7383	13.79
80%	0.6309	11.11	0.7685	12.77	0.7593	17.02	0.988	19.15	0.8294	10.64	0.7448	12.77	0.7663	10.64	0.9068	17.02	0.8273	14.89	0.7463	13.04
85%	0.6318	11.43	0.7863	17.14	0.7881	20.0	0.9908	11.43	0.8376	14.29	0.7463	14.29	0.7833	11.43	0.9142	17.14	0.8354	14.29	0.751	14.29
86%	0.6321	12.12	0.7908	18.18	0.7929	21.21	0.9933	12.12	0.839	15.15	0.7468	12.12	0.7868	12.12	0.9163	18.18	0.8383	12.12	0.7521	15.15
87%	0.6323	13.33	0.8087	19.35	0.7964	23.33	0.9937	12.9	0.8406	16.67	0.7473	12.9	0.7887	13.33	0.9213	19.35	0.8424	12.9	0.7524	16.13
88%	0.6323	13.33	0.822	21.43	0.8002	25.0	0.9938	14.29	0.842	14.29	0.748	10.71	0.7912	14.29	0.9238	17.86	0.8452	14.29	0.7563	17.86
89%	0.6326	15.38	0.8267	23.08	0.8151	26.92	0.994	16.0	0.8444	15.38	0.7482	11.54	0.7968	11.54	0.9264	15.38	0.8481	15.38	0.7587	19.23
90%	0.6331	17.39	0.8393	25.0	0.8169	25.0	0.9942	16.67	0.8485	16.67	0.7484	8.33	0.814	12.5	0.9297	16.67	0.8558	16.67	0.7602	20.83
91%	0.6335	14.29	0.8429	28.57	0.822	23.81	0.9945	18.18	0.8498	19.05	0.7487	4.76	0.8168	9.52	0.9338	19.05	0.8577	19.05	0.7633	23.81
92%	0.6338	10.53	0.8471	26.32	0.8262	26.32	0.9947	20.0	0.8524	15.79	0.7493	5.26	0.8185	10.53	0.9437	21.05	0.8598	21.05	0.7664	21.05
93%	0.6344	11.76	0.8542	29.41	0.8281	23.53	0.9952	17.65	0.8551	17.65	0.7497	5.88	0.8196	11.76	0.9468	23.53	0.8606	16.67	0.7705	23.53
94%	0.6347	13.33	0.8708	28.57	0.8375	21.43	0.9962	20.0	0.8587	21.43	0.7502	7.14	0.8271	14.29	0.9494	28.57	0.8614	21.43	0.7728	14.29
95%	0.6352	16.67	0.8745	33.33	0.8529	25.0	0.9968	25.0	0.8617	25.0	0.7504	8.33	0.8344	16.67	0.9528	33.33	0.8633	25.0	0.7925	16.67
96%	0.6361	22.22	0.881	40.0	0.879	20.0	0.9973	30.0	0.8634	30.0	0.7506	10.0	0.8359	22.22	0.9532	30.0	0.8652	30.0	0.8186	20.0
97%	0.6394	28.57	0.8829	57.14	0.8855	28.57	0.9975	42.86	0.8647	28.57	0.751	14.29	0.8375	28.57	0.9546	28.57	0.8659	37.5	0.8292	28.57
98%	0.6439	20.0	0.8949	60.0	0.9083	40.0	0.9977	20.0	0.8663	40.0	0.753	0.0	0.8403	40.0	0.9612	40.0	0.8723	40.0	0.8485	40.0
max	0.6564	-1.0	0.9549	-1.0	0.936	-1.0	0.9979	-1.0	0.8729	-1.0	0.7585	-1.0	0.8493	-1.0	0.9753	-1.0	0.9027	-1.0	0.8596	-1.0
