	TFm_1088.HK_pos_reg4_mult_28	TFm_1088.HK_pos_reg4_mult_28_per	TFm_1088.HK_pos_reg4_mult_64	TFm_1088.HK_pos_reg4_mult_64_per	TFm_1088.HK_pos_reg4_mult_128	TFm_1088.HK_pos_reg4_mult_128_per	TFm_1088.HK_pos_reg4_mult_conv2	TFm_1088.HK_pos_reg4_mult_conv2_per	TFm_1088.HK_pos_reg4_mult_conv	TFm_1088.HK_pos_reg4_mult_conv_per	TFm_1088.HK_pos_reg4__simp_cordo	TFm_1088.HK_pos_reg4__simp_cordo_per	TFm_1088.HK_pos_reg4_mult_linear	TFm_1088.HK_pos_reg4_mult_linear_per	TFm_1088.HK_pos_reg4_mult_dense2	TFm_1088.HK_pos_reg4_mult_dense2_per	TFm_1088.HK_pos_reg4_mult_lstm	TFm_1088.HK_pos_reg4_mult_lstm_per	TFm_1088.HK_pos_reg4__mult_gru	TFm_1088.HK_pos_reg4__mult_gru_per
acc_per	87.32	-1.0	93.78	-1.0	96.17	-1.0	89.23	-1.0	97.21	-1.0	80.94	-1.0	79.35	-1.0	90.59	-1.0	94.34	-1.0	95.06	-1.0
loss	0.31	-1.0	0.20	-1.0	0.12	-1.0	0.41	-1.0	0.11	-1.0	0.46	-1.0	0.44	-1.0	0.22	-1.0	0.14	-1.0	0.14	-1.0
epochs	9	-1.0	8	-1.0	8	-1.0	14	-1.0	9	-1.0	8	-1.0	17	-1.0	10	-1.0	9	-1.0	11	-1.0
df_test_%	11.3	-1.0	15.6	-1.0	21.0	-1.0	21.0	-1.0	21.9	-1.0	7.8	-1.0	10.8	-1.0	12.3	-1.0	29.6	-1.0	28.9	-1.0
positives	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0
count	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0	225.0	-1.0
mean	0.486	-1.0	0.4568	-1.0	0.3554	-1.0	0.7019	-1.0	0.5784	-1.0	0.546	-1.0	0.7201	-1.0	0.5385	-1.0	0.429	-1.0	0.4756	-1.0
std	0.1095	-1.0	0.1233	-1.0	0.1664	-1.0	0.2709	-1.0	0.1774	-1.0	0.0245	-1.0	0.2495	-1.0	0.2567	-1.0	0.2607	-1.0	0.3689	-1.0
min	0.2326	-1.0	0.1871	-1.0	0.0721	-1.0	0.0047	-1.0	0.0573	-1.0	0.5182	-1.0	0.0012	-1.0	0.0231	-1.0	0.0444	-1.0	0.0078	-1.0
25%	0.4068	4.14	0.3554	5.95	0.2277	6.55	0.5677	6.55	0.4514	5.92	0.5275	5.33	0.5997	5.92	0.3196	5.92	0.2168	6.51	0.092	6.55
50%	0.4825	6.25	0.4498	6.19	0.3325	8.93	0.7569	7.96	0.5853	7.14	0.54	5.36	0.7927	7.14	0.5182	7.96	0.3375	8.85	0.4752	8.93
60%	0.5105	7.78	0.4819	7.78	0.3911	8.89	0.8541	8.89	0.6403	7.78	0.5449	4.44	0.8467	7.78	0.6117	10.0	0.4588	11.11	0.6493	8.89
70%	0.5469	10.29	0.5288	8.82	0.4468	10.29	0.9122	11.76	0.6953	10.29	0.5493	4.41	0.9108	10.29	0.7132	11.76	0.5978	13.24	0.7994	10.29
75%	0.5651	8.77	0.5476	10.71	0.4709	12.5	0.9331	14.29	0.7264	12.5	0.5533	5.26	0.9198	8.93	0.7533	7.02	0.6766	15.79	0.8743	12.5
80%	0.5795	8.89	0.5728	10.87	0.5039	15.56	0.956	15.56	0.7514	15.56	0.5568	6.67	0.9305	11.11	0.8034	8.89	0.7308	15.56	0.9114	15.56
85%	0.595	11.76	0.6046	11.76	0.5424	14.71	0.97	20.59	0.7743	17.65	0.5752	8.82	0.9442	8.82	0.8806	8.82	0.7598	20.59	0.9368	20.59
86%	0.6026	9.38	0.6073	12.5	0.5456	15.62	0.974	21.88	0.7772	18.75	0.5765	9.38	0.9457	9.38	0.8947	9.38	0.7652	21.88	0.9497	21.88
87%	0.6087	10.0	0.6086	13.33	0.566	16.67	0.9749	24.14	0.7783	20.0	0.5787	9.68	0.9471	10.0	0.9031	10.0	0.7708	23.33	0.9591	23.33
88%	0.6123	11.11	0.6099	14.81	0.5714	18.52	0.9793	22.22	0.7877	18.52	0.582	11.11	0.9493	11.11	0.9082	11.11	0.7814	25.93	0.9618	25.93
89%	0.6155	12.0	0.6134	16.0	0.5857	20.0	0.9819	20.0	0.7974	20.0	0.584	12.0	0.951	12.0	0.9158	12.0	0.7865	28.0	0.9699	28.0
