	TFm_1299.HK_neg_vgood16_mult_28	TFm_1299.HK_neg_vgood16_mult_28_per	TFm_1299.HK_neg_vgood16_mult_64	TFm_1299.HK_neg_vgood16_mult_64_per	TFm_1299.HK_neg_vgood16_mult_128	TFm_1299.HK_neg_vgood16_mult_128_per	TFm_1299.HK_neg_vgood16_mult_conv2	TFm_1299.HK_neg_vgood16_mult_conv2_per	TFm_1299.HK_neg_vgood16_mult_conv	TFm_1299.HK_neg_vgood16_mult_conv_per	TFm_1299.HK_neg_vgood16__simp_cordo	TFm_1299.HK_neg_vgood16__simp_cordo_per	TFm_1299.HK_neg_vgood16_mult_linear	TFm_1299.HK_neg_vgood16_mult_linear_per	TFm_1299.HK_neg_vgood16_mult_dense2	TFm_1299.HK_neg_vgood16_mult_dense2_per	TFm_1299.HK_neg_vgood16_mult_lstm	TFm_1299.HK_neg_vgood16_mult_lstm_per	TFm_1299.HK_neg_vgood16__mult_gru	TFm_1299.HK_neg_vgood16__mult_gru_per
acc_per	82.98	-1.0	83.06	-1.0	90.03	-1.0	91.83	-1.0	82.38	-1.0	71.66	-1.0	78.71	-1.0	83.81	-1.0	82.68	-1.0	84.18	-1.0
loss	0.36	-1.0	0.40	-1.0	0.24	-1.0	0.21	-1.0	0.39	-1.0	0.55	-1.0	0.50	-1.0	0.38	-1.0	0.36	-1.0	0.36	-1.0
epochs	25	-1.0	8	-1.0	11	-1.0	8	-1.0	10	-1.0	9	-1.0	13	-1.0	15	-1.0	8	-1.0	10	-1.0
df_test_%	24.1	-1.0	7.0	-1.0	27.3	-1.0	24.1	-1.0	23.8	-1.0	10.2	-1.0	9.7	-1.0	1.2	-1.0	17.8	-1.0	24.1	-1.0
positives	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0
count	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0	240.0	-1.0
mean	0.3518	-1.0	0.4964	-1.0	0.4425	-1.0	0.6039	-1.0	0.5206	-1.0	0.5311	-1.0	0.4954	-1.0	0.5123	-1.0	0.4785	-1.0	0.539	-1.0
std	0.2817	-1.0	0.165	-1.0	0.2751	-1.0	0.2304	-1.0	0.2325	-1.0	0.0252	-1.0	0.2656	-1.0	0.337	-1.0	0.2285	-1.0	0.268	-1.0
min	0.0034	-1.0	0.1928	-1.0	0.0184	-1.0	0.1011	-1.0	0.0949	-1.0	0.4813	-1.0	0.0129	-1.0	0.0	-1.0	0.1213	-1.0	0.0685	-1.0
25%	0.1016	10.0	0.3645	9.44	0.2065	10.0	0.4256	10.0	0.3332	9.44	0.51	8.89	0.2699	9.44	0.1847	9.44	0.2742	8.89	0.2905	9.44
50%	0.2773	14.17	0.4924	10.0	0.3972	13.33	0.6293	11.67	0.5311	10.83	0.5287	8.26	0.4977	10.83	0.5837	10.0	0.4502	11.67	0.5766	11.67
60%	0.3527	14.58	0.5583	11.46	0.4878	16.67	0.6941	13.54	0.608	12.5	0.5383	7.29	0.5931	11.46	0.6902	12.5	0.5619	13.54	0.6379	13.54
70%	0.5013	18.06	0.6101	12.5	0.6316	19.44	0.7569	16.67	0.6545	15.28	0.5471	5.56	0.6867	9.72	0.7692	12.5	0.6448	13.89	0.726	15.28
75%	0.5634	21.67	0.6461	11.67	0.6631	20.0	0.7933	16.67	0.7174	16.67	0.5513	5.0	0.7296	10.0	0.8335	10.0	0.6884	16.67	0.7794	15.0
80%	0.6602	22.92	0.6672	8.33	0.7215	22.92	0.8381	20.83	0.7672	14.58	0.5557	6.25	0.7599	10.42	0.86	10.42	0.7197	16.67	0.8058	16.67
85%	0.7035	25.0	0.6877	5.56	0.8	22.22	0.8704	22.22	0.7963	19.44	0.5598	8.33	0.8077	11.11	0.8925	11.11	0.7672	13.89	0.854	19.44
86%	0.717	26.47	0.6913	5.88	0.8068	23.53	0.8754	23.53	0.8077	20.59	0.5608	8.82	0.8152	11.76	0.8978	8.82	0.7709	14.71	0.8573	20.59
87%	0.742	25.0	0.6934	6.45	0.8209	25.0	0.8785	21.88	0.8219	21.88	0.5618	9.38	0.8203	12.5	0.9052	6.25	0.7807	15.62	0.8644	21.88
88%	0.7466	27.59	0.698	6.9	0.8327	24.14	0.8879	24.14	0.8272	24.14	0.5632	10.71	0.8325	10.34	0.9097	3.45	0.7874	13.79	0.8741	24.14
89%	0.7496	25.93	0.7065	7.41	0.8549	22.22	0.8933	22.22	0.8313	22.22	0.5642	11.11	0.8394	11.11	0.9152	3.7	0.7946	14.81	0.8874	22.22
90%	0.7616	25.0	0.7131	8.33	0.861	25.0	0.8943	20.83	0.8381	25.0	0.5651	8.33	0.8524	12.5	0.9224	0.0	0.796	16.67	0.8978	20.83
91%	0.8022	22.73	0.716	8.7	0.8669	27.27	0.8991	22.73	0.8539	22.73	0.5662	9.09	0.8608	13.64	0.9253	0.0	0.8072	18.18	0.9036	22.73
92%	0.829	20.0	0.7279	5.0	0.8755	30.0	0.9091	25.0	0.8614	25.0	0.5675	10.0	0.8658	5.0	0.9293	0.0	0.8132	20.0	0.9049	25.0
93%	0.8534	23.53	0.7341	5.88	0.8894	35.29	0.9125	29.41	0.8676	23.53	0.5681	11.76	0.876	5.88	0.9377	0.0	0.8151	23.53	0.9089	29.41
94%	0.8765	26.67	0.7413	0.0	0.9025	33.33	0.9161	26.67	0.8757	20.0	0.5713	6.67	0.8831	0.0	0.9505	0.0	0.8264	20.0	0.9142	33.33
95%	0.8836	30.77	0.7494	0.0	0.9089	33.33	0.9191	30.77	0.88	25.0	0.5721	0.0	0.903	0.0	0.9586	0.0	0.8333	16.67	0.9198	33.33
96%	0.9093	40.0	0.7577	0.0	0.9257	30.0	0.9263	30.0	0.8851	20.0	0.5747	0.0	0.9312	0.0	0.9645	0.0	0.8449	20.0	0.9318	40.0
97%	0.9228	37.5	0.7756	0.0	0.9516	25.0	0.942	37.5	0.8916	25.0	0.5767	0.0	0.9393	0.0	0.9715	0.0	0.8504	12.5	0.947	37.5
98%	0.9433	40.0	0.7832	0.0	0.9649	40.0	0.9472	40.0	0.9046	0.0	0.5785	0.0	0.9509	0.0	0.9747	0.0	0.8656	20.0	0.9533	40.0
max	0.972	-1.0	0.8322	-1.0	0.9786	-1.0	0.9554	-1.0	0.9216	-1.0	0.5917	-1.0	0.9616	-1.0	0.9957	-1.0	0.9236	-1.0	0.9695	-1.0
