	TFm_1299.HK_pos_low1_mult_28	TFm_1299.HK_pos_low1_mult_28_per	TFm_1299.HK_pos_low1_mult_64	TFm_1299.HK_pos_low1_mult_64_per	TFm_1299.HK_pos_low1_mult_128	TFm_1299.HK_pos_low1_mult_128_per	r_TFm_1299.HK_pos_low1_mult_conv2	TFm_1299.HK_pos_low1_mult_conv	TFm_1299.HK_pos_low1_mult_conv_per	TFm_1299.HK_pos_low1__simp_cordo	TFm_1299.HK_pos_low1__simp_cordo_per	TFm_1299.HK_pos_low1_mult_linear	TFm_1299.HK_pos_low1_mult_linear_per	TFm_1299.HK_pos_low1_mult_dense2	TFm_1299.HK_pos_low1_mult_dense2_per	TFm_1299.HK_pos_low1_mult_lstm	TFm_1299.HK_pos_low1_mult_lstm_per	TFm_1299.HK_pos_low1__mult_gru	TFm_1299.HK_pos_low1__mult_gru_per
acc_per	89.01	-1.0	91.13	-1.0	92.70	-1.0	-1	91.84	-1.0	82.10	-1.0	80.69	-1.0	85.40	-1.0	96.94	-1.0	89.72	-1.0
loss	0.26	-1.0	0.21	-1.0	0.19	-1.0	-1	0.21	-1.0	0.43	-1.0	0.40	-1.0	0.33	-1.0	0.09	-1.0	0.23	-1.0
epochs	11	-1.0	11	-1.0	9	-1.0	-1	9	-1.0	8	-1.0	21	-1.0	11	-1.0	15	-1.0	9	-1.0
df_test_%	20.7	-1.0	33.2	-1.0	25.3	-1.0	-1	20.5	-1.0	21.5	-1.0	16.0	-1.0	26.6	-1.0	52.1	-1.0	22.1	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	-1	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0
count	229.0	-1.0	229.0	-1.0	229.0	-1.0	-1	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0	229.0	-1.0
mean	0.4628	-1.0	0.5282	-1.0	0.5863	-1.0	-1	0.6965	-1.0	0.5928	-1.0	0.7896	-1.0	0.6117	-1.0	0.3163	-1.0	0.7609	-1.0
std	0.1759	-1.0	0.2434	-1.0	0.1585	-1.0	-1	0.0795	-1.0	0.0926	-1.0	0.2173	-1.0	0.1402	-1.0	0.3922	-1.0	0.2159	-1.0
min	0.0529	-1.0	0.0303	-1.0	0.2463	-1.0	-1	0.518	-1.0	0.4224	-1.0	0.0211	-1.0	0.0668	-1.0	0.0	-1.0	0.1647	-1.0
25%	0.3484	8.72	0.3162	8.77	0.4608	8.77	-1	0.6349	8.72	0.5067	8.14	0.6824	8.77	0.5375	8.72	0.0026	8.72	0.6413	8.14
50%	0.4618	12.17	0.5365	13.16	0.5877	13.04	-1	0.6956	11.4	0.6034	10.53	0.8651	12.28	0.635	12.17	0.0439	12.28	0.8445	12.28
60%	0.5085	15.22	0.6212	15.22	0.6295	14.13	-1	0.7152	11.96	0.6244	9.78	0.9205	14.13	0.6719	13.04	0.1678	15.22	0.8777	14.13
70%	0.5531	18.84	0.7184	18.84	0.6781	17.39	-1	0.7385	13.04	0.6576	7.25	0.9507	17.39	0.6964	15.94	0.5673	20.29	0.9193	18.84
75%	0.5686	18.97	0.7397	20.69	0.6993	17.24	-1	0.7461	15.79	0.6726	8.62	0.9599	18.97	0.7092	18.97	0.7055	24.56	0.928	21.05
80%	0.5901	17.39	0.7737	23.91	0.7289	21.74	-1	0.764	17.39	0.6906	10.87	0.9683	19.57	0.723	23.91	0.834	28.26	0.9394	26.09
85%	0.6216	14.29	0.8151	31.43	0.7611	22.86	-1	0.7761	17.14	0.701	14.29	0.9807	22.86	0.7324	22.86	0.9298	37.14	0.9549	25.71
86%	0.6246	15.62	0.8276	34.38	0.7689	21.88	-1	0.7782	18.75	0.7019	15.62	0.9844	21.88	0.7337	21.88	0.9345	37.5	0.957	26.47
87%	0.6322	16.67	0.831	36.67	0.7831	23.33	-1	0.7796	20.0	0.7069	16.67	0.9854	20.0	0.743	23.33	0.9443	40.0	0.9586	26.67
