	TFm_1519.HK_pos_good9_mult_28	TFm_1519.HK_pos_good9_mult_28_per	TFm_1519.HK_pos_good9_mult_64	TFm_1519.HK_pos_good9_mult_64_per	TFm_1519.HK_pos_good9_mult_128	TFm_1519.HK_pos_good9_mult_128_per	TFm_1519.HK_pos_good9_mult_conv2	TFm_1519.HK_pos_good9_mult_conv2_per	TFm_1519.HK_pos_good9_mult_conv	TFm_1519.HK_pos_good9_mult_conv_per	TFm_1519.HK_pos_good9__simp_cordo	TFm_1519.HK_pos_good9__simp_cordo_per	TFm_1519.HK_pos_good9_mult_linear	TFm_1519.HK_pos_good9_mult_linear_per	TFm_1519.HK_pos_good9_mult_dense2	TFm_1519.HK_pos_good9_mult_dense2_per	TFm_1519.HK_pos_good9_mult_lstm	TFm_1519.HK_pos_good9_mult_lstm_per	TFm_1519.HK_pos_good9__mult_gru	TFm_1519.HK_pos_good9__mult_gru_per
acc_per	73.58	-1.0	79.87	-1.0	89.15	-1.0	72.01	-1.0	80.90	-1.0	77.75	-1.0	72.80	-1.0	82.15	-1.0	91.43	-1.0	86.24	-1.0
loss	0.53	-1.0	0.43	-1.0	0.25	-1.0	0.70	-1.0	0.42	-1.0	0.49	-1.0	0.53	-1.0	0.39	-1.0	0.20	-1.0	0.32	-1.0
epochs	8	-1.0	11	-1.0	13	-1.0	8	-1.0	10	-1.0	18	-1.0	14	-1.0	14	-1.0	14	-1.0	15	-1.0
df_test_%	10.2	-1.0	9.8	-1.0	11.2	-1.0	11.3	-1.0	7.0	-1.0	13.9	-1.0	17.9	-1.0	9.2	-1.0	14.5	-1.0	21.1	-1.0
positives	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0
count	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0	230.0	-1.0
mean	0.5862	-1.0	0.4718	-1.0	0.4338	-1.0	0.5109	-1.0	0.5209	-1.0	0.4664	-1.0	0.5517	-1.0	0.5818	-1.0	0.422	-1.0	0.7407	-1.0
std	0.0628	-1.0	0.2305	-1.0	0.2478	-1.0	0.1493	-1.0	0.2241	-1.0	0.2447	-1.0	0.2313	-1.0	0.2303	-1.0	0.2978	-1.0	0.2392	-1.0
min	0.5127	-1.0	0.1908	-1.0	0.0324	-1.0	0.2823	-1.0	0.1667	-1.0	0.0799	-1.0	0.183	-1.0	0.0639	-1.0	0.0	-1.0	0.0045	-1.0
25%	0.5435	5.2	0.2992	5.81	0.2368	5.81	0.4046	5.81	0.3513	5.81	0.2402	5.81	0.3832	5.81	0.3931	5.81	0.1545	5.23	0.6303	5.81
50%	0.5584	7.83	0.3914	7.83	0.3955	8.7	0.4877	6.9	0.4551	7.83	0.4191	8.7	0.5019	7.83	0.5739	8.7	0.3939	7.83	0.8236	7.83
60%	0.5709	8.7	0.4342	9.78	0.4595	10.87	0.4998	7.61	0.5153	8.7	0.5176	10.87	0.5558	8.7	0.6433	9.78	0.5236	9.78	0.8565	8.7
70%	0.5991	10.14	0.5024	10.14	0.5104	10.14	0.5237	10.14	0.5747	10.14	0.6847	13.04	0.6522	11.59	0.7376	11.59	0.6668	11.59	0.9021	8.7
75%	0.6054	10.34	0.5507	12.07	0.5636	12.07	0.531	10.17	0.6126	10.34	0.7368	15.52	0.6898	13.79	0.7608	12.07	0.7044	12.07	0.9179	10.34
80%	0.6202	13.04	0.6485	13.04	0.637	15.22	0.5431	13.04	0.7408	13.04	0.7681	15.22	0.7308	15.22	0.8019	10.87	0.7244	13.04	0.931	10.87
85%	0.6666	14.29	0.8719	14.29	0.7782	11.43	0.6733	14.29	0.8899	17.14	0.8077	17.65	0.9235	17.14	0.8595	11.43	0.7728	14.29	0.9407	14.29
86%	0.6841	12.12	0.8866	15.15	0.7899	9.09	0.7135	15.15	0.9064	15.15	0.8081	18.18	0.9449	18.18	0.8718	9.09	0.7743	15.15	0.9433	15.15
87%	0.6896	10.0	0.8983	10.0	0.802	10.0	0.7425	16.67	0.9137	16.67	0.8088	19.35	0.9584	16.67	0.8769	6.67	0.7769	16.67	0.9475	16.67
88%	0.6981	10.71	0.9117	10.71	0.8262	10.71	0.7485	17.86	0.9219	14.29	0.8091	17.86	0.9653	17.86	0.8804	7.14	0.7808	17.86	0.9531	17.86
89%	0.7006	11.54	0.9229	7.69	0.835	11.54	0.7647	15.38	0.9297	7.69	0.8093	16.67	0.9702	19.23	0.8936	7.69	0.7838	19.23	0.955	19.23
90%	0.7047	13.04	0.9255	8.7	0.8465	13.04	0.7692	8.7	0.9317	4.35	0.8093	16.67	0.9719	17.39	0.9053	8.7	0.7914	13.04	0.9554	21.74
91%	0.7061	9.52	0.9274	9.52	0.8583	9.52	0.7871	9.52	0.9368	4.76	0.8095	9.52	0.9736	18.18	0.9165	9.52	0.8024	14.29	0.9568	23.81
92%	0.7104	10.53	0.931	10.53	0.8819	10.53	0.8317	10.53	0.938	5.26	0.8096	10.0	0.9744	15.79	0.9297	10.53	0.8209	10.53	0.9574	26.32
93%	0.7206	5.88	0.9382	11.76	0.8978	11.76	0.8634	5.88	0.9412	5.88	0.8097	12.5	0.9747	18.75	0.9382	11.76	0.8449	11.76	0.9591	17.65
94%	0.7237	7.14	0.9467	7.14	0.9033	14.29	0.8764	7.14	0.9442	7.14	0.8097	12.5	0.9774	14.29	0.9444	7.14	0.8899	14.29	0.96	14.29
95%	0.7269	8.33	0.9484	8.33	0.9141	16.67	0.8777	8.33	0.9463	8.33	0.8097	12.5	0.9795	8.33	0.9477	8.33	0.9097	16.67	0.961	10.0
96%	0.7285	0.0	0.9527	10.0	0.92	20.0	0.8814	0.0	0.9467	10.0	0.81	0.0	0.9827	10.0	0.9605	10.0	0.9194	20.0	0.9622	10.0
97%	0.7318	0.0	0.9541	14.29	0.93	28.57	0.885	0.0	0.9478	14.29	0.8101	0.0	0.984	0.0	0.9819	14.29	0.9337	28.57	0.9632	0.0
98%	0.7418	0.0	0.9574	20.0	0.9371	40.0	0.8867	0.0	0.9513	20.0	0.8101	0.0	0.9856	0.0	0.9886	20.0	0.9607	40.0	0.9644	0.0
max	0.7668	-1.0	0.9755	-1.0	0.9631	-1.0	0.9033	-1.0	0.9637	-1.0	0.8102	-1.0	0.9886	-1.0	0.9939	-1.0	0.9963	-1.0	0.9673	-1.0
