	TFm_2318.HK_pos_low1_mult_28	TFm_2318.HK_pos_low1_mult_28_per	TFm_2318.HK_pos_low1_mult_64	TFm_2318.HK_pos_low1_mult_64_per	TFm_2318.HK_pos_low1_mult_128	TFm_2318.HK_pos_low1_mult_128_per	TFm_2318.HK_pos_low1_mult_conv2	TFm_2318.HK_pos_low1_mult_conv2_per	TFm_2318.HK_pos_low1_mult_conv	TFm_2318.HK_pos_low1_mult_conv_per	TFm_2318.HK_pos_low1__simp_cordo	TFm_2318.HK_pos_low1__simp_cordo_per	TFm_2318.HK_pos_low1_mult_linear	TFm_2318.HK_pos_low1_mult_linear_per	TFm_2318.HK_pos_low1_mult_dense2	TFm_2318.HK_pos_low1_mult_dense2_per	TFm_2318.HK_pos_low1_mult_lstm	TFm_2318.HK_pos_low1_mult_lstm_per	TFm_2318.HK_pos_low1__mult_gru	TFm_2318.HK_pos_low1__mult_gru_per
acc_per	88.34	-1.0	93.62	-1.0	98.07	-1.0	87.00	-1.0	99.41	-1.0	80.12	-1.0	77.43	-1.0	83.56	-1.0	94.30	-1.0	92.87	-1.0
loss	0.30	-1.0	0.17	-1.0	0.07	-1.0	0.80	-1.0	0.05	-1.0	0.46	-1.0	0.49	-1.0	0.35	-1.0	0.15	-1.0	0.18	-1.0
epochs	13	-1.0	13	-1.0	11	-1.0	16	-1.0	9	-1.0	8	-1.0	14	-1.0	8	-1.0	9	-1.0	10	-1.0
df_test_%	14.7	-1.0	14.8	-1.0	18.5	-1.0	24.9	-1.0	8.7	-1.0	2.7	-1.0	5.5	-1.0	16.2	-1.0	14.7	-1.0	18.1	-1.0
positives	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0	11	-1.0
count	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0
mean	0.5396	-1.0	0.7682	-1.0	0.4199	-1.0	0.9187	-1.0	0.7069	-1.0	0.5928	-1.0	0.8057	-1.0	0.8845	-1.0	0.8365	-1.0	0.7135	-1.0
std	0.1626	-1.0	0.1781	-1.0	0.3081	-1.0	0.1241	-1.0	0.1529	-1.0	0.0124	-1.0	0.1337	-1.0	0.0902	-1.0	0.1324	-1.0	0.1676	-1.0
min	0.097	-1.0	0.0818	-1.0	0.0038	-1.0	0.1955	-1.0	0.1478	-1.0	0.5651	-1.0	0.206	-1.0	0.6527	-1.0	0.4469	-1.0	0.1118	-1.0
25%	0.4168	5.56	0.6747	5.56	0.1399	6.17	0.896	5.56	0.6022	6.17	0.5824	6.17	0.7282	5.56	0.802	4.94	0.7315	6.21	0.6196	6.79
50%	0.5469	6.48	0.8179	7.41	0.3449	6.48	0.9781	7.34	0.7314	8.41	0.5925	6.48	0.8497	6.48	0.9119	6.48	0.8611	7.41	0.7479	8.33
60%	0.5807	6.9	0.8625	6.9	0.5159	8.14	0.9872	9.2	0.7659	9.3	0.598	6.9	0.8688	8.05	0.9374	8.14	0.9105	8.05	0.7911	10.47
70%	0.6384	6.15	0.8949	7.69	0.6369	7.69	0.9928	12.31	0.804	9.23	0.6021	9.38	0.8916	7.69	0.9568	7.69	0.9487	10.77	0.8234	12.31
75%	0.6701	5.56	0.9095	9.26	0.6818	9.26	0.9952	14.55	0.8181	9.26	0.6049	11.11	0.9045	7.41	0.9691	9.26	0.9582	12.96	0.833	12.96
80%	0.6865	6.98	0.92	11.36	0.752	9.09	0.9959	16.28	0.8545	11.63	0.6059	11.63	0.912	6.82	0.9777	11.36	0.965	15.91	0.8536	15.91
85%	0.7121	9.09	0.9308	15.15	0.7832	12.12	0.9967	18.18	0.8697	9.09	0.6065	6.45	0.9225	8.82	0.9854	15.15	0.9756	15.15	0.8745	15.15
86%	0.7253	9.68	0.9316	16.67	0.8094	12.9	0.997	19.35	0.8707	9.68	0.6066	6.45	0.9236	9.68	0.9857	12.9	0.9789	16.13	0.879	16.13
87%	0.7303	10.71	0.9339	17.86	0.8577	14.29	0.9972	20.69	0.8778	7.14	0.6067	7.14	0.9261	10.34	0.9858	13.33	0.98	17.86	0.883	17.86
88%	0.7342	11.54	0.9357	15.38	0.8721	15.38	0.9975	19.23	0.8809	7.69	0.6072	7.41	0.9305	7.69	0.9868	15.38	0.9822	15.38	0.8846	19.23
89%	0.7403	12.5	0.937	16.67	0.893	16.67	0.9978	19.23	0.8852	8.33	0.6074	4.35	0.9321	4.17	0.9884	16.67	0.9835	16.67	0.8867	20.83
90%	0.7466	13.64	0.9413	18.18	0.8991	18.18	0.9979	25.0	0.8874	9.09	0.608	4.55	0.9389	4.55	0.9893	13.64	0.9837	17.39	0.8888	18.18
91%	0.7508	15.0	0.9451	15.0	0.9121	20.0	0.998	25.0	0.8934	10.0	0.6084	0.0	0.9413	5.0	0.9903	15.79	0.9855	15.0	0.8897	15.0
92%	0.7647	16.67	0.9457	11.11	0.9241	22.22	0.9982	27.78	0.9013	11.11	0.6089	0.0	0.9466	5.56	0.9908	16.67	0.9874	11.11	0.8956	16.67
93%	0.7802	18.75	0.9475	12.5	0.9328	18.75	0.9984	33.33	0.9122	6.25	0.6102	0.0	0.9504	6.25	0.9915	18.75	0.9887	12.5	0.8971	18.75
94%	0.7838	23.08	0.9484	15.38	0.9334	23.08	0.9986	38.46	0.9173	7.69	0.6105	0.0	0.9567	7.69	0.9931	7.69	0.9895	16.67	0.8994	23.08
95%	0.8063	27.27	0.9505	9.09	0.9358	18.18	0.9987	38.46	0.9267	0.0	0.6108	0.0	0.9584	9.09	0.9942	9.09	0.9909	18.18	0.9012	27.27
96%	0.8197	33.33	0.9548	11.11	0.9402	22.22	0.9989	25.0	0.9301	0.0	0.6112	0.0	0.9589	11.11	0.9955	0.0	0.9922	25.0	0.9024	33.33
97%	0.8333	42.86	0.9628	14.29	0.9537	28.57	0.999	28.57	0.9332	0.0	0.6119	0.0	0.9615	14.29	0.9981	0.0	0.9926	33.33	0.906	28.57
98%	0.8458	40.0	0.9671	20.0	0.962	40.0	0.9991	40.0	0.9381	0.0	0.6134	0.0	0.9644	0.0	0.9984	0.0	0.9943	40.0	0.9094	40.0
max	0.8843	-1.0	0.9885	-1.0	0.9914	-1.0	0.9999	-1.0	0.9563	-1.0	0.6155	-1.0	0.9899	-1.0	0.9997	-1.0	0.9968	-1.0	0.9142	-1.0
