	TFm_2318.HK_pos_reg4_mult_28	TFm_2318.HK_pos_reg4_mult_28_per	TFm_2318.HK_pos_reg4_mult_64	TFm_2318.HK_pos_reg4_mult_64_per	TFm_2318.HK_pos_reg4_mult_128	TFm_2318.HK_pos_reg4_mult_128_per	TFm_2318.HK_pos_reg4_mult_conv2	TFm_2318.HK_pos_reg4_mult_conv2_per	TFm_2318.HK_pos_reg4_mult_conv	TFm_2318.HK_pos_reg4_mult_conv_per	TFm_2318.HK_pos_reg4__simp_cordo	TFm_2318.HK_pos_reg4__simp_cordo_per	TFm_2318.HK_pos_reg4_mult_linear	TFm_2318.HK_pos_reg4_mult_linear_per	TFm_2318.HK_pos_reg4_mult_dense2	TFm_2318.HK_pos_reg4_mult_dense2_per	r_TFm_2318.HK_pos_reg4_mult_lstm	TFm_2318.HK_pos_reg4__mult_gru	TFm_2318.HK_pos_reg4__mult_gru_per
acc_per	84.98	-1.0	90.94	-1.0	97.48	-1.0	80.12	-1.0	97.06	-1.0	81.21	-1.0	75.84	-1.0	91.19	-1.0	-1	94.21	-1.0
loss	0.37	-1.0	0.22	-1.0	0.08	-1.0	0.65	-1.0	0.10	-1.0	0.42	-1.0	0.52	-1.0	0.25	-1.0	-1	0.17	-1.0
epochs	10	-1.0	10	-1.0	9	-1.0	9	-1.0	8	-1.0	12	-1.0	8	-1.0	9	-1.0	-1	9	-1.0
df_test_%	5.5	-1.0	5.5	-1.0	14.7	-1.0	20.9	-1.0	7.0	-1.0	0.6	-1.0	28.1	-1.0	15.3	-1.0	-1	16.2	-1.0
positives	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	15	-1.0	-1	15	-1.0
count	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	216.0	-1.0	-1	216.0	-1.0
mean	0.4389	-1.0	0.6581	-1.0	0.6076	-1.0	0.9475	-1.0	0.7802	-1.0	0.5735	-1.0	0.9557	-1.0	0.858	-1.0	-1	0.5942	-1.0
std	0.1388	-1.0	0.1419	-1.0	0.243	-1.0	0.0204	-1.0	0.0614	-1.0	0.2249	-1.0	0.0376	-1.0	0.1484	-1.0	-1	0.1986	-1.0
min	0.1205	-1.0	0.2422	-1.0	0.0807	-1.0	0.8883	-1.0	0.5432	-1.0	0.0206	-1.0	0.8121	-1.0	0.1083	-1.0	-1	0.1481	-1.0
25%	0.3468	8.02	0.5712	8.02	0.418	8.64	0.9328	6.79	0.7501	8.02	0.6358	6.79	0.937	6.79	0.8313	7.41	-1	0.4542	8.02
