	TFm_2318.HK_pos_vgood16_mult_28	TFm_2318.HK_pos_vgood16_mult_28_per	TFm_2318.HK_pos_vgood16_mult_64	TFm_2318.HK_pos_vgood16_mult_64_per	TFm_2318.HK_pos_vgood16_mult_128	TFm_2318.HK_pos_vgood16_mult_128_per	TFm_2318.HK_pos_vgood16_mult_conv2	TFm_2318.HK_pos_vgood16_mult_conv2_per	TFm_2318.HK_pos_vgood16_mult_conv	TFm_2318.HK_pos_vgood16_mult_conv_per	TFm_2318.HK_pos_vgood16__simp_cordo	TFm_2318.HK_pos_vgood16__simp_cordo_per	TFm_2318.HK_pos_vgood16_mult_linear	TFm_2318.HK_pos_vgood16_mult_linear_per	TFm_2318.HK_pos_vgood16_mult_dense2	TFm_2318.HK_pos_vgood16_mult_dense2_per	TFm_2318.HK_pos_vgood16_mult_lstm	TFm_2318.HK_pos_vgood16_mult_lstm_per	TFm_2318.HK_pos_vgood16__mult_gru	TFm_2318.HK_pos_vgood16__mult_gru_per
acc_per	66.51	-1.0	75.44	-1.0	80.86	-1.0	86.44	-1.0	77.75	-1.0	52.23	-1.0	58.61	-1.0	70.41	-1.0	77.11	-1.0	71.21	-1.0
loss	0.62	-1.0	0.53	-1.0	0.43	-1.0	0.34	-1.0	0.49	-1.0	0.70	-1.0	0.68	-1.0	0.58	-1.0	0.48	-1.0	0.54	-1.0
epochs	10	-1.0	9	-1.0	8	-1.0	9	-1.0	9	-1.0	10	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0
df_test_%	3.8	-1.0	19.0	-1.0	18.8	-1.0	16.9	-1.0	18.8	-1.0	9.4	-1.0	14.1	-1.0	16.9	-1.0	18.8	-1.0	18.8	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0	227.0	-1.0
mean	0.4885	-1.0	0.5221	-1.0	0.545	-1.0	0.5837	-1.0	0.5302	-1.0	0.5965	-1.0	0.5838	-1.0	0.5317	-1.0	0.5751	-1.0	0.572	-1.0
std	0.0801	-1.0	0.0736	-1.0	0.0677	-1.0	0.1279	-1.0	0.0955	-1.0	0.0342	-1.0	0.0469	-1.0	0.0833	-1.0	0.0947	-1.0	0.0749	-1.0
min	0.3029	-1.0	0.33	-1.0	0.3896	-1.0	0.2969	-1.0	0.276	-1.0	0.4997	-1.0	0.4761	-1.0	0.3463	-1.0	0.4649	-1.0	0.46	-1.0
25%	0.433	4.71	0.4635	6.47	0.4938	5.88	0.4843	7.06	0.4621	7.06	0.5722	4.14	0.5488	5.29	0.4753	7.06	0.5058	7.06	0.5112	5.88
50%	0.4867	6.19	0.5219	7.02	0.5456	6.14	0.5827	7.02	0.5219	7.08	0.602	6.14	0.5822	6.19	0.5177	7.08	0.5399	8.77	0.5621	7.02
60%	0.4986	7.69	0.5403	7.69	0.5616	5.49	0.6215	6.59	0.5447	6.59	0.6102	5.43	0.5945	7.69	0.5395	7.69	0.5712	7.69	0.5753	7.69
70%	0.5341	10.29	0.5633	7.35	0.58	5.88	0.6637	8.82	0.5795	7.35	0.6176	5.88	0.6047	7.35	0.5614	10.29	0.6021	8.82	0.5968	10.29
75%	0.5459	8.77	0.5755	8.77	0.5864	7.02	0.6821	10.53	0.5977	8.77	0.6225	7.02	0.6111	8.77	0.576	12.28	0.6115	10.53	0.6083	10.53
80%	0.5563	8.7	0.5877	10.87	0.5996	8.7	0.6967	10.87	0.6159	10.87	0.6248	8.7	0.6219	11.11	0.608	10.87	0.6367	13.04	0.6193	13.04
85%	0.5778	8.82	0.5977	14.29	0.6111	11.76	0.7216	11.76	0.6342	11.76	0.6305	11.76	0.6316	11.76	0.6245	11.76	0.668	14.71	0.6486	14.71
86%	0.5825	9.38	0.6006	15.62	0.6151	12.5	0.7279	12.5	0.6395	12.5	0.6331	9.38	0.6377	12.5	0.6279	12.5	0.6848	12.5	0.6654	12.5
87%	0.5858	10.0	0.6042	16.67	0.6159	13.33	0.7348	13.33	0.6424	13.33	0.6343	6.67	0.6411	13.33	0.6337	13.33	0.6958	13.33	0.6712	13.33
88%	0.5935	10.71	0.6052	17.86	0.6176	14.29	0.7388	14.29	0.6452	14.29	0.635	7.14	0.6426	14.29	0.6366	14.29	0.71	14.29	0.6758	14.29
89%	0.5963	8.0	0.6076	20.0	0.6236	16.0	0.745	16.0	0.6512	16.0	0.6371	8.0	0.6482	15.38	0.6384	16.0	0.7136	16.0	0.6776	16.0
90%	0.6031	4.35	0.6111	21.74	0.6322	17.39	0.7485	17.39	0.6534	17.39	0.6386	8.7	0.6492	17.39	0.6409	17.39	0.7229	17.39	0.6884	17.39
91%	0.6076	0.0	0.6172	19.05	0.6363	19.05	0.7502	19.05	0.6554	19.05	0.6393	9.52	0.6523	14.29	0.6482	19.05	0.7273	19.05	0.6934	19.05
92%	0.6189	0.0	0.6191	16.67	0.6406	21.05	0.7567	15.79	0.666	21.05	0.6409	10.53	0.6608	10.53	0.6605	15.79	0.7332	21.05	0.6973	21.05
93%	0.6204	0.0	0.6245	18.75	0.6493	25.0	0.7596	18.75	0.6725	25.0	0.6427	12.5	0.6633	12.5	0.6636	18.75	0.739	25.0	0.6988	25.0
94%	0.626	0.0	0.6283	14.29	0.6626	28.57	0.7657	21.43	0.6894	28.57	0.6456	14.29	0.6671	14.29	0.6734	21.43	0.7617	28.57	0.7095	28.57
95%	0.6294	0.0	0.6401	16.67	0.6808	33.33	0.773	25.0	0.6957	25.0	0.6479	16.67	0.6715	16.67	0.6796	25.0	0.7883	33.33	0.7312	33.33
96%	0.637	0.0	0.6497	20.0	0.686	40.0	0.7954	30.0	0.7011	30.0	0.6501	22.22	0.6737	20.0	0.6905	20.0	0.7986	30.0	0.7404	30.0
97%	0.6382	0.0	0.6611	28.57	0.6895	42.86	0.8163	42.86	0.7253	14.29	0.6506	28.57	0.6788	14.29	0.6976	14.29	0.8161	42.86	0.7552	42.86
98%	0.647	0.0	0.6782	40.0	0.6972	40.0	0.8348	40.0	0.7417	20.0	0.6534	20.0	0.6835	20.0	0.7081	20.0	0.8248	40.0	0.758	60.0
max	0.6772	-1.0	0.7494	-1.0	0.7489	-1.0	0.9221	-1.0	0.7746	-1.0	0.6603	-1.0	0.706	-1.0	0.8481	-1.0	0.8976	-1.0	0.8048	-1.0
