	TFm_PYPL_neg_low1_mult_28	TFm_PYPL_neg_low1_mult_28_per	TFm_PYPL_neg_low1_mult_64	TFm_PYPL_neg_low1_mult_64_per	TFm_PYPL_neg_low1_mult_128	TFm_PYPL_neg_low1_mult_128_per	r_TFm_PYPL_neg_low1_mult_conv2	TFm_PYPL_neg_low1_mult_conv	TFm_PYPL_neg_low1_mult_conv_per	TFm_PYPL_neg_low1__simp_cordo	TFm_PYPL_neg_low1__simp_cordo_per	TFm_PYPL_neg_low1_mult_linear	TFm_PYPL_neg_low1_mult_linear_per	TFm_PYPL_neg_low1_mult_dense2	TFm_PYPL_neg_low1_mult_dense2_per	TFm_PYPL_neg_low1_mult_lstm	TFm_PYPL_neg_low1_mult_lstm_per	TFm_PYPL_neg_low1__mult_gru	TFm_PYPL_neg_low1__mult_gru_per
acc_per	92.00	-1.0	91.07	-1.0	95.67	-1.0	-1	97.27	-1.0	90.40	-1.0	81.60	-1.0	92.60	-1.0	95.67	-1.0	93.40	-1.0
loss	0.21	-1.0	0.22	-1.0	0.12	-1.0	-1	0.11	-1.0	0.24	-1.0	0.41	-1.0	0.22	-1.0	0.17	-1.0	0.18	-1.0
epochs	22	-1.0	8	-1.0	11	-1.0	-1	9	-1.0	23	-1.0	12	-1.0	19	-1.0	9	-1.0	11	-1.0
df_test_%	21.2	-1.0	20.1	-1.0	21.2	-1.0	-1	11.0	-1.0	26.3	-1.0	15.8	-1.0	8.1	-1.0	16.2	-1.0	26.5	-1.0
positives	10	-1.0	10	-1.0	10	-1.0	-1	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0
count	266.0	-1.0	266.0	-1.0	266.0	-1.0	-1	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0
mean	0.5209	-1.0	0.5735	-1.0	0.7082	-1.0	-1	0.7768	-1.0	0.5018	-1.0	0.862	-1.0	0.7151	-1.0	0.8654	-1.0	0.38	-1.0
std	0.2545	-1.0	0.0751	-1.0	0.2277	-1.0	-1	0.0936	-1.0	0.3373	-1.0	0.0911	-1.0	0.3393	-1.0	0.1281	-1.0	0.2889	-1.0
min	0.0295	-1.0	0.4293	-1.0	0.0354	-1.0	-1	0.4398	-1.0	0.0243	-1.0	0.3763	-1.0	0.0006	-1.0	0.3752	-1.0	0.0115	-1.0
25%	0.3026	5.03	0.522	4.52	0.5708	4.02	-1	0.7412	3.52	0.1474	5.03	0.8259	5.03	0.5183	4.02	0.8263	4.02	0.1265	4.52
50%	0.5087	7.52	0.5661	5.26	0.7577	5.97	-1	0.7972	3.76	0.5253	6.77	0.8789	6.02	0.8944	3.01	0.9086	6.02	0.3089	6.02
60%	0.5902	7.48	0.5818	6.54	0.8244	6.6	-1	0.8089	4.67	0.7051	6.6	0.897	7.55	0.9372	1.89	0.933	7.55	0.4137	7.48
70%	0.6976	8.75	0.6008	8.75	0.8794	8.75	-1	0.826	6.25	0.8053	8.75	0.909	8.86	0.9656	2.5	0.9475	8.75	0.5265	8.75
75%	0.7469	10.45	0.6111	10.45	0.8986	10.45	-1	0.8379	5.97	0.8609	10.45	0.9243	10.45	0.9782	2.99	0.9575	10.45	0.6078	10.45
80%	0.7756	13.21	0.6306	13.21	0.9216	13.21	-1	0.8497	7.41	0.8797	12.96	0.9304	13.21	0.9876	3.77	0.9673	9.26	0.7014	12.96
85%	0.8197	17.5	0.6427	12.5	0.9418	15.0	-1	0.8575	10.0	0.8977	17.5	0.9398	12.5	0.9922	4.88	0.9756	10.0	0.7667	17.5
86%	0.8258	18.42	0.6446	13.16	0.9423	15.79	-1	0.8583	10.53	0.9008	18.42	0.9427	13.16	0.994	5.26	0.9779	10.53	0.7774	18.42
87%	0.8349	20.0	0.6486	14.29	0.9473	17.14	-1	0.8612	11.43	0.9037	20.0	0.9447	11.43	0.9948	5.71	0.9798	11.43	0.7893	20.0
88%	0.8486	18.75	0.6546	15.62	0.9508	18.75	-1	0.8666	12.5	0.9044	21.21	0.946	12.5	0.9956	6.25	0.9814	12.5	0.8011	21.88
