	TFm_PYPL_neg_vgood16_mult_28	TFm_PYPL_neg_vgood16_mult_28_per	TFm_PYPL_neg_vgood16_mult_64	TFm_PYPL_neg_vgood16_mult_64_per	TFm_PYPL_neg_vgood16_mult_128	TFm_PYPL_neg_vgood16_mult_128_per	TFm_PYPL_neg_vgood16_mult_conv2	TFm_PYPL_neg_vgood16_mult_conv2_per	TFm_PYPL_neg_vgood16_mult_conv	TFm_PYPL_neg_vgood16_mult_conv_per	TFm_PYPL_neg_vgood16__simp_cordo	TFm_PYPL_neg_vgood16__simp_cordo_per	TFm_PYPL_neg_vgood16_mult_linear	TFm_PYPL_neg_vgood16_mult_linear_per	TFm_PYPL_neg_vgood16_mult_dense2	TFm_PYPL_neg_vgood16_mult_dense2_per	TFm_PYPL_neg_vgood16_mult_lstm	TFm_PYPL_neg_vgood16_mult_lstm_per	TFm_PYPL_neg_vgood16__mult_gru	TFm_PYPL_neg_vgood16__mult_gru_per
acc_per	78.92	-1.0	83.42	-1.0	86.83	-1.0	87.79	-1.0	85.09	-1.0	67.74	-1.0	67.93	-1.0	84.96	-1.0	91.20	-1.0	84.45	-1.0
loss	0.45	-1.0	0.36	-1.0	0.33	-1.0	0.30	-1.0	0.38	-1.0	0.60	-1.0	0.59	-1.0	0.34	-1.0	0.22	-1.0	0.34	-1.0
epochs	21	-1.0	17	-1.0	10	-1.0	11	-1.0	14	-1.0	15	-1.0	38	-1.0	19	-1.0	19	-1.0	12	-1.0
df_test_%	28.1	-1.0	34.2	-1.0	21.3	-1.0	32.3	-1.0	21.6	-1.0	31.1	-1.0	15.6	-1.0	23.4	-1.0	33.8	-1.0	35.1	-1.0
positives	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0	17	-1.0
count	274.0	-1.0	274.0	-1.0	274.0	-1.0	274.0	-1.0	274.0	-1.0	274.0	-1.0	274.0	-1.0	274.0	-1.0	274.0	-1.0	274.0	-1.0
mean	0.4483	-1.0	0.4971	-1.0	0.6051	-1.0	0.5061	-1.0	0.4189	-1.0	0.5116	-1.0	0.5075	-1.0	0.4718	-1.0	0.4165	-1.0	0.5696	-1.0
std	0.1857	-1.0	0.2165	-1.0	0.1625	-1.0	0.206	-1.0	0.1916	-1.0	0.1199	-1.0	0.1655	-1.0	0.2973	-1.0	0.3225	-1.0	0.2	-1.0
min	0.1117	-1.0	0.0195	-1.0	0.2338	-1.0	0.0088	-1.0	0.059	-1.0	0.3826	-1.0	0.1269	-1.0	0.0004	-1.0	0.0	-1.0	0.0441	-1.0
25%	0.321	7.32	0.3543	7.8	0.4776	6.83	0.3717	7.8	0.2775	6.83	0.4372	6.34	0.4043	6.34	0.2077	6.83	0.0348	8.29	0.4415	7.8
