	TFm_PYPL_pos_good9_mult_28	TFm_PYPL_pos_good9_mult_28_per	TFm_PYPL_pos_good9_mult_64	TFm_PYPL_pos_good9_mult_64_per	TFm_PYPL_pos_good9_mult_128	TFm_PYPL_pos_good9_mult_128_per	TFm_PYPL_pos_good9_mult_conv2	TFm_PYPL_pos_good9_mult_conv2_per	TFm_PYPL_pos_good9_mult_conv	TFm_PYPL_pos_good9_mult_conv_per	TFm_PYPL_pos_good9__simp_cordo	TFm_PYPL_pos_good9__simp_cordo_per	TFm_PYPL_pos_good9_mult_linear	TFm_PYPL_pos_good9_mult_linear_per	TFm_PYPL_pos_good9_mult_dense2	TFm_PYPL_pos_good9_mult_dense2_per	TFm_PYPL_pos_good9_mult_lstm	TFm_PYPL_pos_good9_mult_lstm_per	TFm_PYPL_pos_good9__mult_gru	TFm_PYPL_pos_good9__mult_gru_per
acc_per	86.68	-1.0	90.96	-1.0	93.21	-1.0	92.68	-1.0	92.22	-1.0	75.86	-1.0	78.76	-1.0	88.46	-1.0	94.79	-1.0	94.20	-1.0
loss	0.38	-1.0	0.26	-1.0	0.19	-1.0	0.20	-1.0	0.22	-1.0	0.52	-1.0	0.46	-1.0	0.26	-1.0	0.16	-1.0	0.17	-1.0
epochs	9	-1.0	10	-1.0	10	-1.0	13	-1.0	9	-1.0	8	-1.0	14	-1.0	15	-1.0	13	-1.0	14	-1.0
df_test_%	28.2	-1.0	28.2	-1.0	25.5	-1.0	22.5	-1.0	24.1	-1.0	28.2	-1.0	22.7	-1.0	24.3	-1.0	29.2	-1.0	21.7	-1.0
positives	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0	13	-1.0
count	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0
mean	0.457	-1.0	0.3942	-1.0	0.2972	-1.0	0.3281	-1.0	0.5373	-1.0	0.4275	-1.0	0.5899	-1.0	0.4155	-1.0	0.2279	-1.0	0.554	-1.0
std	0.148	-1.0	0.2205	-1.0	0.2606	-1.0	0.2842	-1.0	0.1046	-1.0	0.1281	-1.0	0.1749	-1.0	0.2744	-1.0	0.2681	-1.0	0.3358	-1.0
min	0.2798	-1.0	0.088	-1.0	0.0187	-1.0	0.0111	-1.0	0.3222	-1.0	0.3533	-1.0	0.0152	-1.0	0.0	-1.0	0.0	-1.0	0.0072	-1.0
25%	0.3561	6.03	0.2098	6.53	0.1224	6.03	0.0875	6.53	0.4725	6.03	0.3552	5.47	0.4709	6.53	0.1778	6.53	0.0445	6.03	0.2838	6.03
50%	0.3992	8.27	0.3441	7.52	0.1998	8.27	0.2178	9.02	0.5211	8.27	0.3577	8.27	0.589	8.27	0.4213	9.77	0.1115	8.27	0.6215	7.52
60%	0.4408	8.41	0.4218	9.35	0.2612	10.38	0.3206	11.21	0.5416	9.43	0.3652	9.35	0.6244	8.49	0.5199	10.28	0.1591	10.38	0.7226	8.41
70%	0.4737	8.75	0.5344	11.25	0.3462	13.75	0.4552	12.5	0.5572	11.25	0.4093	8.75	0.6643	10.0	0.5999	10.0	0.2126	13.75	0.8381	10.0
75%	0.5122	10.45	0.5447	13.43	0.3673	14.93	0.5113	13.43	0.5662	13.43	0.4209	10.45	0.6922	10.45	0.6252	11.94	0.2838	16.42	0.865	11.94
80%	0.5427	12.96	0.5641	16.98	0.4236	18.52	0.6107	15.09	0.5795	14.81	0.4975	13.21	0.7364	13.21	0.6772	15.09	0.4323	18.87	0.917	12.96
85%	0.5688	17.5	0.5782	20.0	0.5077	22.5	0.6912	17.5	0.6056	15.0	0.5479	17.5	0.7764	17.5	0.7373	20.0	0.6081	22.5	0.9395	17.5
86%	0.5794	18.42	0.5842	21.05	0.5749	23.68	0.7064	18.42	0.6185	15.79	0.5502	18.42	0.7817	18.42	0.7506	21.05	0.643	23.68	0.9421	18.42
87%	0.5813	20.0	0.5883	20.0	0.6237	25.71	0.7184	17.14	0.6313	17.14	0.5596	20.0	0.797	20.0	0.7608	22.86	0.6642	25.71	0.945	20.0
88%	0.592	21.88	0.6018	21.88	0.7098	25.0	0.7357	18.75	0.6401	18.75	0.5636	21.88	0.8102	21.88	0.79	21.88	0.6809	25.0	0.9484	21.88
89%	0.6076	23.33	0.6071	23.33	0.7703	23.33	0.7521	20.0	0.6725	20.0	0.5786	23.33	0.8264	23.33	0.8046	23.33	0.7157	26.67	0.9519	20.0
90%	0.6276	25.93	0.6201	25.93	0.7966	25.93	0.7554	22.22	0.6761	22.22	0.5868	25.93	0.839	22.22	0.8074	22.22	0.7183	25.93	0.9552	18.52
91%	0.6479	29.17	0.6551	29.17	0.8092	25.0	0.7766	25.0	0.6888	25.0	0.6117	29.17	0.8446	25.0	0.8133	25.0	0.7229	29.17	0.9569	20.83
92%	0.7494	31.82	0.7372	31.82	0.8707	27.27	0.7869	22.73	0.6987	27.27	0.7355	31.82	0.8749	22.73	0.8199	27.27	0.7376	31.82	0.9595	22.73
93%	0.8091	36.84	0.7913	36.84	0.9051	26.32	0.8299	26.32	0.7052	31.58	0.7535	36.84	0.887	21.05	0.8229	26.32	0.7449	36.84	0.962	26.32
94%	0.8307	31.25	0.9001	37.5	0.9217	25.0	0.9172	31.25	0.7326	37.5	0.7625	31.25	0.901	18.75	0.8283	31.25	0.754	31.25	0.9643	25.0
95%	0.839	28.57	0.9251	42.86	0.946	28.57	0.9634	28.57	0.7747	35.71	0.7671	28.57	0.9119	7.14	0.8409	35.71	0.7916	35.71	0.9658	21.43
96%	0.8538	27.27	0.93	54.55	0.957	36.36	0.9692	36.36	0.8201	36.36	0.7738	18.18	0.9269	0.0	0.8648	27.27	0.8757	45.45	0.9702	18.18
97%	0.8677	25.0	0.946	75.0	0.9693	37.5	0.9732	50.0	0.8481	50.0	0.7818	12.5	0.931	0.0	0.8864	25.0	0.8989	50.0	0.9744	22.22
98%	0.8783	16.67	0.954	83.33	0.9696	33.33	0.979	50.0	0.8555	33.33	0.7854	0.0	0.9362	0.0	0.8967	33.33	0.9343	50.0	0.9805	16.67
max	0.9692	-1.0	0.9774	-1.0	0.9934	-1.0	0.9843	-1.0	0.8906	-1.0	0.8584	-1.0	0.9779	-1.0	0.9085	-1.0	0.9971	-1.0	0.9884	-1.0
