	TFm_PYPL_pos_reg4_mult_28	TFm_PYPL_pos_reg4_mult_28_per	TFm_PYPL_pos_reg4_mult_64	TFm_PYPL_pos_reg4_mult_64_per	TFm_PYPL_pos_reg4_mult_128	TFm_PYPL_pos_reg4_mult_128_per	r_TFm_PYPL_pos_reg4_mult_conv2	TFm_PYPL_pos_reg4_mult_conv	TFm_PYPL_pos_reg4_mult_conv_per	TFm_PYPL_pos_reg4__simp_cordo	TFm_PYPL_pos_reg4__simp_cordo_per	TFm_PYPL_pos_reg4_mult_linear	TFm_PYPL_pos_reg4_mult_linear_per	TFm_PYPL_pos_reg4_mult_dense2	TFm_PYPL_pos_reg4_mult_dense2_per	TFm_PYPL_pos_reg4_mult_lstm	TFm_PYPL_pos_reg4_mult_lstm_per	TFm_PYPL_pos_reg4__mult_gru	TFm_PYPL_pos_reg4__mult_gru_per
acc_per	90.78	-1.0	91.30	-1.0	92.69	-1.0	-1	95.52	-1.0	83.79	-1.0	82.87	-1.0	93.48	-1.0	90.51	-1.0	91.24	-1.0
loss	0.26	-1.0	0.24	-1.0	0.20	-1.0	-1	0.15	-1.0	0.42	-1.0	0.43	-1.0	0.18	-1.0	0.21	-1.0	0.21	-1.0
epochs	13	-1.0	9	-1.0	9	-1.0	-1	10	-1.0	17	-1.0	16	-1.0	30	-1.0	8	-1.0	10	-1.0
df_test_%	21.2	-1.0	24.1	-1.0	21.8	-1.0	-1	21.8	-1.0	20.1	-1.0	11.2	-1.0	20.3	-1.0	20.1	-1.0	24.0	-1.0
positives	10	-1.0	10	-1.0	10	-1.0	-1	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0	10	-1.0
count	266.0	-1.0	266.0	-1.0	266.0	-1.0	-1	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0	266.0	-1.0
mean	0.4162	-1.0	0.3533	-1.0	0.3785	-1.0	-1	0.3507	-1.0	0.3654	-1.0	0.7964	-1.0	0.6095	-1.0	0.4687	-1.0	0.4245	-1.0
std	0.1708	-1.0	0.1669	-1.0	0.1776	-1.0	-1	0.1874	-1.0	0.2472	-1.0	0.1613	-1.0	0.3876	-1.0	0.1118	-1.0	0.1549	-1.0
min	0.0547	-1.0	0.1168	-1.0	0.1237	-1.0	-1	0.1518	-1.0	0.2386	-1.0	0.2	-1.0	0.0	-1.0	0.3719	-1.0	0.1239	-1.0
25%	0.3086	4.02	0.2394	5.03	0.2574	4.52	-1	0.2299	5.03	0.2394	4.81	0.7566	4.02	0.1994	4.02	0.4013	5.03	0.3756	4.02
50%	0.3816	6.02	0.2948	6.77	0.3343	6.77	-1	0.2756	6.02	0.2404	6.02	0.8385	6.02	0.7951	4.51	0.4154	7.52	0.4327	5.97
60%	0.4121	7.55	0.3247	8.49	0.3716	8.49	-1	0.3067	7.55	0.2413	7.48	0.8672	7.55	0.8988	5.61	0.4264	8.49	0.4387	7.48
70%	0.4599	10.0	0.4045	8.75	0.4375	10.0	-1	0.3852	10.0	0.2543	8.75	0.8876	10.0	0.939	7.5	0.4807	10.0	0.4458	8.86
75%	0.4769	11.94	0.4372	10.45	0.4618	10.45	-1	0.4264	11.94	0.2893	10.45	0.9083	11.94	0.9621	8.96	0.528	10.45	0.4495	10.45
80%	0.5136	11.11	0.4679	12.96	0.491	11.32	-1	0.4686	14.81	0.3704	11.11	0.9217	12.96	0.9692	11.32	0.5443	12.96	0.4544	12.96
85%	0.5709	15.0	0.5079	15.0	0.5392	15.0	-1	0.5407	17.5	0.8627	12.5	0.9297	12.5	0.9771	15.0	0.5804	15.0	0.4593	15.0
86%	0.5862	15.79	0.5216	15.79	0.5494	15.79	-1	0.5476	18.42	0.8835	13.16	0.9335	10.53	0.9784	15.79	0.5852	15.79	0.4614	16.22
87%	0.5918	17.14	0.5252	17.14	0.558	17.14	-1	0.5572	17.14	0.8988	14.29	0.9344	8.57	0.9789	17.14	0.5912	14.29	0.4637	17.14
88%	0.6062	18.75	0.5331	18.75	0.5678	18.75	-1	0.5725	18.75	0.9057	15.62	0.9357	9.38	0.9802	18.75	0.5967	15.62	0.4659	18.75
89%	0.6086	20.0	0.5479	20.0	0.5865	20.0	-1	0.5872	20.0	0.9093	16.67	0.9387	10.0	0.9811	20.69	0.6148	16.67	0.4676	19.35
90%	0.6246	18.52	0.5497	22.22	0.6007	22.22	-1	0.6007	22.22	0.9132	18.52	0.9399	11.11	0.9821	22.22	0.6217	18.52	0.4695	22.22
91%	0.636	20.83	0.5528	25.0	0.6134	20.83	-1	0.6218	20.83	0.9161	20.83	0.9414	12.5	0.9838	20.83	0.634	20.83	0.4728	25.0
92%	0.6653	22.73	0.5706	27.27	0.6354	22.73	-1	0.638	22.73	0.9201	22.73	0.9449	13.64	0.9869	18.18	0.6378	22.73	0.5398	27.27
93%	0.6841	26.32	0.5824	31.58	0.6482	26.32	-1	0.6694	26.32	0.9238	26.32	0.9521	10.53	0.9889	21.05	0.6458	26.32	0.6701	31.58
94%	0.7235	31.25	0.6135	31.25	0.7055	31.25	-1	0.7059	31.25	0.9256	31.25	0.9622	6.25	0.9917	23.53	0.6522	31.25	0.7208	37.5
95%	0.765	35.71	0.721	35.71	0.7353	35.71	-1	0.7703	35.71	0.9272	35.71	0.9644	7.14	0.9932	30.77	0.6635	28.57	0.8326	42.86
96%	0.8469	36.36	0.7941	36.36	0.8084	45.45	-1	0.8348	36.36	0.9282	41.67	0.9689	9.09	0.9957	36.36	0.668	36.36	0.8898	45.45
97%	0.9054	37.5	0.8408	25.0	0.8765	37.5	-1	0.879	37.5	0.9287	37.5	0.9763	12.5	0.9975	50.0	0.727	37.5	0.9033	37.5
98%	0.9452	33.33	0.8991	33.33	0.9534	33.33	-1	0.9637	33.33	0.9298	33.33	0.9818	0.0	0.9991	66.67	0.89	33.33	0.9305	16.67
