	TFm_UBER_neg_good9_mult_28	TFm_UBER_neg_good9_mult_28_per	TFm_UBER_neg_good9_mult_64	TFm_UBER_neg_good9_mult_64_per	TFm_UBER_neg_good9_mult_128	TFm_UBER_neg_good9_mult_128_per	TFm_UBER_neg_good9_mult_conv2	TFm_UBER_neg_good9_mult_conv2_per	TFm_UBER_neg_good9_mult_conv	TFm_UBER_neg_good9_mult_conv_per	TFm_UBER_neg_good9__simp_cordo	TFm_UBER_neg_good9__simp_cordo_per	TFm_UBER_neg_good9_mult_linear	TFm_UBER_neg_good9_mult_linear_per	TFm_UBER_neg_good9_mult_dense2	TFm_UBER_neg_good9_mult_dense2_per	TFm_UBER_neg_good9_mult_lstm	TFm_UBER_neg_good9_mult_lstm_per	TFm_UBER_neg_good9__mult_gru	TFm_UBER_neg_good9__mult_gru_per
acc_per	79.32	-1.0	87.35	-1.0	92.30	-1.0	89.76	-1.0	94.91	-1.0	78.78	-1.0	78.05	-1.0	88.76	-1.0	95.11	-1.0	91.23	-1.0
loss	0.46	-1.0	0.33	-1.0	0.21	-1.0	0.25	-1.0	0.14	-1.0	0.48	-1.0	0.49	-1.0	0.27	-1.0	0.14	-1.0	0.23	-1.0
epochs	8	-1.0	8	-1.0	8	-1.0	9	-1.0	21	-1.0	9	-1.0	16	-1.0	10	-1.0	11	-1.0	9	-1.0
df_test_%	8.1	-1.0	0.0	-1.0	5.8	-1.0	4.1	-1.0	11.9	-1.0	8.2	-1.0	8.2	-1.0	2.4	-1.0	16.3	-1.0	4.1	-1.0
positives	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0	9	-1.0
count	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0
mean	0.5342	-1.0	0.4436	-1.0	0.4436	-1.0	0.3596	-1.0	0.3396	-1.0	0.5022	-1.0	0.4446	-1.0	0.3669	-1.0	0.2349	-1.0	0.4123	-1.0
std	0.0898	-1.0	0.127	-1.0	0.1895	-1.0	0.2075	-1.0	0.3075	-1.0	0.0963	-1.0	0.2774	-1.0	0.322	-1.0	0.3232	-1.0	0.2273	-1.0
min	0.2759	-1.0	0.2175	-1.0	0.1028	-1.0	0.0737	-1.0	0.0006	-1.0	0.3444	-1.0	0.0001	-1.0	0.0017	-1.0	0.0	-1.0	0.0458	-1.0
25%	0.4801	4.1	0.3198	4.59	0.273	4.62	0.1521	4.62	0.0775	4.62	0.4025	4.08	0.1859	4.59	0.0671	4.62	0.0035	4.59	0.2123	4.59
50%	0.5442	5.38	0.4366	5.34	0.439	3.85	0.3371	4.58	0.2474	6.15	0.5176	5.34	0.4092	3.82	0.204	4.62	0.0537	4.62	0.4133	5.34
60%	0.5616	5.77	0.5031	3.81	0.5132	2.88	0.4018	3.85	0.333	6.67	0.5444	3.85	0.5773	2.86	0.5407	3.81	0.0905	5.71	0.4809	5.71
70%	0.5791	6.33	0.5382	3.85	0.5671	3.75	0.52	2.53	0.4705	7.59	0.5658	2.53	0.6542	3.8	0.6948	3.8	0.2513	6.33	0.5647	5.13
75%	0.5944	6.15	0.5496	3.08	0.5871	4.62	0.5575	1.52	0.5793	9.09	0.5723	3.08	0.6894	3.08	0.7311	3.08	0.4009	7.58	0.5956	3.08
80%	0.6092	5.66	0.5657	3.85	0.628	5.77	0.5896	1.89	0.6872	9.62	0.5883	3.77	0.7276	3.85	0.7504	3.77	0.6227	9.43	0.6389	1.92
85%	0.6268	5.0	0.5811	0.0	0.6554	5.13	0.6086	2.56	0.7745	10.0	0.6145	4.88	0.7784	5.0	0.7667	5.13	0.7737	10.0	0.6835	2.5
86%	0.6281	5.41	0.5879	0.0	0.6582	5.41	0.6126	2.7	0.7944	10.81	0.6174	5.41	0.7878	5.41	0.7682	2.7	0.7845	10.81	0.6876	2.7
87%	0.6344	5.88	0.5896	0.0	0.6789	5.88	0.6194	2.94	0.8065	11.76	0.6218	5.88	0.7964	5.88	0.7738	2.94	0.7951	11.76	0.6927	2.94
88%	0.6397	6.25	0.5943	0.0	0.6886	6.25	0.6237	3.03	0.8222	12.5	0.6263	6.25	0.808	6.25	0.7756	3.12	0.8014	12.5	0.7001	3.12
89%	0.6418	6.9	0.5987	0.0	0.7007	6.9	0.6334	3.45	0.8362	10.34	0.63	6.9	0.8141	6.9	0.7779	3.45	0.8096	13.79	0.709	3.45
90%	0.6485	7.69	0.603	0.0	0.7101	7.41	0.6379	3.85	0.8419	11.11	0.6344	7.69	0.8252	7.69	0.7822	3.85	0.822	14.81	0.7186	3.7
91%	0.6494	8.33	0.6138	0.0	0.7177	4.17	0.6447	4.17	0.8588	12.5	0.6419	8.33	0.8306	8.33	0.7841	4.17	0.8305	16.67	0.7252	4.17
92%	0.652	9.09	0.6196	0.0	0.7255	4.76	0.6542	4.76	0.8871	14.29	0.6503	9.52	0.8489	9.52	0.7861	0.0	0.8494	19.05	0.7565	4.76
93%	0.6544	10.53	0.6218	0.0	0.73	5.26	0.6644	5.26	0.8947	10.53	0.6535	10.53	0.8548	10.53	0.7881	0.0	0.8727	21.05	0.7689	5.26
94%	0.6624	12.5	0.634	0.0	0.7384	6.25	0.6681	6.25	0.9083	11.76	0.6563	12.5	0.862	12.5	0.7911	0.0	0.8864	18.75	0.778	6.25
95%	0.6786	14.29	0.6427	0.0	0.7539	7.14	0.6702	7.14	0.9182	14.29	0.6575	7.69	0.8825	14.29	0.7945	0.0	0.9043	15.38	0.7873	8.33
