	TFm_UBER_neg_reg4_mult_28	TFm_UBER_neg_reg4_mult_28_per	TFm_UBER_neg_reg4_mult_64	TFm_UBER_neg_reg4_mult_64_per	TFm_UBER_neg_reg4_mult_128	TFm_UBER_neg_reg4_mult_128_per	TFm_UBER_neg_reg4_mult_conv2	TFm_UBER_neg_reg4_mult_conv2_per	TFm_UBER_neg_reg4_mult_conv	TFm_UBER_neg_reg4_mult_conv_per	TFm_UBER_neg_reg4__simp_cordo	TFm_UBER_neg_reg4__simp_cordo_per	TFm_UBER_neg_reg4_mult_linear	TFm_UBER_neg_reg4_mult_linear_per	TFm_UBER_neg_reg4_mult_dense2	TFm_UBER_neg_reg4_mult_dense2_per	TFm_UBER_neg_reg4_mult_lstm	TFm_UBER_neg_reg4_mult_lstm_per	TFm_UBER_neg_reg4__mult_gru	TFm_UBER_neg_reg4__mult_gru_per
acc_per	84.82	-1.0	94.67	-1.0	96.56	-1.0	94.47	-1.0	96.69	-1.0	89.47	-1.0	73.21	-1.0	93.93	-1.0	97.37	-1.0	96.63	-1.0
loss	0.41	-1.0	0.15	-1.0	0.09	-1.0	0.16	-1.0	0.11	-1.0	0.27	-1.0	0.52	-1.0	0.19	-1.0	0.08	-1.0	0.09	-1.0
epochs	8	-1.0	10	-1.0	10	-1.0	14	-1.0	11	-1.0	17	-1.0	10	-1.0	9	-1.0	13	-1.0	10	-1.0
df_test_%	0.0	-1.0	2.4	-1.0	15.2	-1.0	16.1	-1.0	8.2	-1.0	10.2	-1.0	12.2	-1.0	7.8	-1.0	15.0	-1.0	16.4	-1.0
positives	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0	8	-1.0
count	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0
mean	0.4932	-1.0	0.3226	-1.0	0.4756	-1.0	0.6991	-1.0	0.3803	-1.0	0.4137	-1.0	0.6692	-1.0	0.6083	-1.0	0.4162	-1.0	0.5913	-1.0
std	0.1021	-1.0	0.2035	-1.0	0.2524	-1.0	0.3075	-1.0	0.2482	-1.0	0.3647	-1.0	0.1811	-1.0	0.2007	-1.0	0.3955	-1.0	0.3539	-1.0
min	0.2671	-1.0	0.0317	-1.0	0.0046	-1.0	0.0091	-1.0	0.0075	-1.0	0.017	-1.0	0.1061	-1.0	0.0684	-1.0	0.0	-1.0	0.0148	-1.0
25%	0.4201	3.08	0.1563	3.06	0.2586	4.08	0.4465	3.59	0.1666	4.1	0.0333	3.59	0.56	3.59	0.4449	3.57	0.0242	4.08	0.2108	3.59
50%	0.4876	2.31	0.2786	4.62	0.4874	5.38	0.8299	5.34	0.3359	4.62	0.3281	4.62	0.7007	3.85	0.6364	3.82	0.2897	5.34	0.6799	5.38
60%	0.524	2.86	0.3381	5.71	0.5443	6.67	0.8932	6.67	0.4059	4.76	0.6648	5.71	0.7549	2.88	0.6906	3.85	0.602	6.73	0.8438	6.73
70%	0.5555	1.27	0.4028	2.53	0.6283	8.97	0.9451	7.69	0.5441	6.33	0.8116	7.69	0.7943	3.85	0.7329	3.8	0.7807	8.97	0.9015	7.59
75%	0.5683	0.0	0.4443	3.03	0.6833	10.77	0.965	9.09	0.5724	7.58	0.8357	9.23	0.8177	4.55	0.7609	4.55	0.8615	10.61	0.9437	9.23
80%	0.5856	0.0	0.5199	1.92	0.734	11.32	0.9789	11.54	0.6102	9.43	0.8439	11.32	0.8269	5.77	0.7972	5.66	0.9028	11.54	0.9635	11.54
85%	0.6097	0.0	0.5881	2.56	0.778	15.0	0.9891	12.82	0.6791	7.5	0.8495	10.0	0.8462	7.69	0.8257	7.5	0.9325	12.82	0.9786	13.16
86%	0.613	0.0	0.6048	2.7	0.7848	16.22	0.9894	13.89	0.6941	5.41	0.8498	10.81	0.8489	8.11	0.8292	8.11	0.9401	13.51	0.9805	13.51
87%	0.6178	0.0	0.6128	2.94	0.792	14.71	0.9896	14.71	0.6989	5.88	0.8505	11.76	0.8579	8.82	0.839	8.82	0.9439	14.71	0.9819	14.71
88%	0.6233	0.0	0.6256	3.12	0.8017	15.62	0.9904	15.62	0.7026	6.25	0.8508	12.5	0.8645	9.38	0.8455	9.38	0.9472	15.62	0.983	12.5
