	TFm_UBER_neg_vgood16_mult_28	TFm_UBER_neg_vgood16_mult_28_per	TFm_UBER_neg_vgood16_mult_64	TFm_UBER_neg_vgood16_mult_64_per	TFm_UBER_neg_vgood16_mult_128	TFm_UBER_neg_vgood16_mult_128_per	TFm_UBER_neg_vgood16_mult_conv2	TFm_UBER_neg_vgood16_mult_conv2_per	TFm_UBER_neg_vgood16_mult_conv	TFm_UBER_neg_vgood16_mult_conv_per	TFm_UBER_neg_vgood16__simp_cordo	TFm_UBER_neg_vgood16__simp_cordo_per	TFm_UBER_neg_vgood16_mult_linear	TFm_UBER_neg_vgood16_mult_linear_per	TFm_UBER_neg_vgood16_mult_dense2	TFm_UBER_neg_vgood16_mult_dense2_per	TFm_UBER_neg_vgood16_mult_lstm	TFm_UBER_neg_vgood16_mult_lstm_per	TFm_UBER_neg_vgood16__mult_gru	TFm_UBER_neg_vgood16__mult_gru_per
acc_per	73.28	-1.0	81.27	-1.0	82.51	-1.0	86.28	-1.0	76.66	-1.0	65.21	-1.0	63.46	-1.0	73.08	-1.0	81.14	-1.0	72.63	-1.0
loss	0.54	-1.0	0.45	-1.0	0.39	-1.0	0.35	-1.0	0.49	-1.0	0.62	-1.0	0.62	-1.0	0.51	-1.0	0.41	-1.0	0.53	-1.0
epochs	10	-1.0	19	-1.0	13	-1.0	10	-1.0	11	-1.0	11	-1.0	10	-1.0	19	-1.0	14	-1.0	8	-1.0
df_test_%	27.3	-1.0	24.4	-1.0	26.1	-1.0	17.9	-1.0	27.3	-1.0	15.9	-1.0	21.1	-1.0	29.6	-1.0	29.6	-1.0	30.3	-1.0
positives	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0	20	-1.0
count	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0
mean	0.5294	-1.0	0.4542	-1.0	0.5126	-1.0	0.6032	-1.0	0.529	-1.0	0.5609	-1.0	0.508	-1.0	0.5053	-1.0	0.4974	-1.0	0.6847	-1.0
std	0.1466	-1.0	0.2545	-1.0	0.2375	-1.0	0.2029	-1.0	0.2108	-1.0	0.143	-1.0	0.1551	-1.0	0.1913	-1.0	0.2128	-1.0	0.1084	-1.0
min	0.2407	-1.0	0.0164	-1.0	0.0712	-1.0	0.1505	-1.0	0.1473	-1.0	0.2443	-1.0	0.2287	-1.0	0.0235	-1.0	0.0556	-1.0	0.443	-1.0
25%	0.4197	8.74	0.2167	8.74	0.2893	7.28	0.4345	8.25	0.3175	7.77	0.4587	7.77	0.3848	7.77	0.3647	7.77	0.3122	8.25	0.6146	8.25
50%	0.519	10.14	0.4891	9.42	0.5748	9.42	0.6344	8.76	0.595	9.42	0.5712	9.42	0.4919	10.14	0.566	8.7	0.6218	10.22	0.6881	10.87
60%	0.5511	10.91	0.5866	11.82	0.6452	11.82	0.7195	9.09	0.635	11.82	0.6149	11.82	0.5288	11.82	0.5871	9.09	0.6344	11.82	0.7109	11.82
70%	0.5881	14.46	0.6407	13.25	0.6859	13.25	0.7656	7.23	0.6655	13.25	0.6689	13.41	0.5637	14.46	0.6056	9.64	0.6374	13.25	0.7519	15.66
75%	0.6326	15.94	0.6611	13.04	0.7083	14.49	0.7814	7.25	0.6796	14.71	0.6806	14.49	0.5919	15.94	0.6155	11.59	0.6397	16.18	0.7634	15.94
80%	0.6623	18.18	0.6829	16.36	0.7197	16.07	0.8018	9.26	0.6968	14.55	0.6956	18.18	0.6397	18.18	0.6298	14.29	0.6461	18.18	0.7957	18.18
85%	0.7173	19.05	0.7194	16.67	0.7404	21.43	0.8171	11.9	0.7423	16.67	0.71	19.51	0.6978	19.05	0.6404	19.05	0.6509	23.81	0.8038	21.95
86%	0.7222	20.51	0.726	17.95	0.7516	23.08	0.8192	12.82	0.7475	17.95	0.7125	20.51	0.7028	20.51	0.6468	20.51	0.6521	25.64	0.8058	23.08
87%	0.7258	22.22	0.7289	19.44	0.7641	22.22	0.8207	13.89	0.7498	19.44	0.7186	22.22	0.7112	22.22	0.6519	22.22	0.6534	25.0	0.809	25.0
88%	0.7322	21.21	0.755	21.21	0.7686	24.24	0.8248	15.15	0.7557	21.21	0.7339	24.24	0.7254	24.24	0.6562	24.24	0.6625	24.24	0.8156	24.24
89%	0.7395	22.58	0.762	22.58	0.7708	25.81	0.8275	16.13	0.7671	22.58	0.7411	25.81	0.7413	22.58	0.6735	25.81	0.6745	25.81	0.8194	25.81
90%	0.7515	25.0	0.7633	21.43	0.7775	25.0	0.8317	17.86	0.7942	25.0	0.7455	25.0	0.7724	21.43	0.6847	28.57	0.6785	28.57	0.8229	28.57
91%	0.7545	28.0	0.7658	24.0	0.788	24.0	0.8331	20.0	0.8215	28.0	0.7557	16.0	0.7797	20.0	0.7109	32.0	0.6815	32.0	0.8353	32.0
92%	0.7595	31.82	0.7795	27.27	0.7956	27.27	0.8377	18.18	0.8249	31.82	0.7625	4.55	0.782	18.18	0.717	31.82	0.6861	31.82	0.8441	36.36
93%	0.7626	35.0	0.7957	30.0	0.8137	30.0	0.8437	20.0	0.8271	35.0	0.7662	0.0	0.7847	20.0	0.7274	35.0	0.6908	35.0	0.8499	35.0
94%	0.7727	41.18	0.824	29.41	0.8305	29.41	0.848	23.53	0.8308	41.18	0.7694	0.0	0.7904	5.88	0.7373	29.41	0.6935	35.29	0.8543	35.29
95%	0.7814	50.0	0.84	35.71	0.8354	35.71	0.8567	28.57	0.835	42.86	0.7706	0.0	0.8003	7.14	0.7534	35.71	0.7013	42.86	0.8592	35.71
96%	0.8014	54.55	0.8534	45.45	0.841	45.45	0.876	36.36	0.8434	45.45	0.7717	0.0	0.8093	0.0	0.7685	45.45	0.7469	54.55	0.8642	36.36
97%	0.8107	55.56	0.8669	44.44	0.876	44.44	0.88	44.44	0.8634	55.56	0.7737	0.0	0.8218	0.0	0.7887	55.56	0.8423	66.67	0.8763	44.44
98%	0.815	66.67	0.8855	66.67	0.8986	66.67	0.8994	50.0	0.8946	66.67	0.7892	0.0	0.8431	0.0	0.8481	66.67	0.8949	66.67	0.8829	16.67
max	0.8735	-1.0	0.9706	-1.0	0.9661	-1.0	0.9422	-1.0	0.9528	-1.0	0.8129	-1.0	0.9083	-1.0	0.9465	-1.0	0.9914	-1.0	0.8984	-1.0
