	TFm_UBER_pos_good9_mult_28	TFm_UBER_pos_good9_mult_28_per	TFm_UBER_pos_good9_mult_64	TFm_UBER_pos_good9_mult_64_per	TFm_UBER_pos_good9_mult_128	TFm_UBER_pos_good9_mult_128_per	TFm_UBER_pos_good9_mult_conv2	TFm_UBER_pos_good9_mult_conv2_per	TFm_UBER_pos_good9_mult_conv	TFm_UBER_pos_good9_mult_conv_per	TFm_UBER_pos_good9__simp_cordo	TFm_UBER_pos_good9__simp_cordo_per	TFm_UBER_pos_good9_mult_linear	TFm_UBER_pos_good9_mult_linear_per	TFm_UBER_pos_good9_mult_dense2	TFm_UBER_pos_good9_mult_dense2_per	TFm_UBER_pos_good9_mult_lstm	TFm_UBER_pos_good9_mult_lstm_per	TFm_UBER_pos_good9__mult_gru	TFm_UBER_pos_good9__mult_gru_per
acc_per	79.62	-1.0	86.02	-1.0	92.74	-1.0	95.84	-1.0	92.35	-1.0	79.88	-1.0	77.18	-1.0	89.38	-1.0	93.60	-1.0	86.74	-1.0
loss	0.47	-1.0	0.37	-1.0	0.19	-1.0	0.11	-1.0	0.22	-1.0	0.41	-1.0	0.51	-1.0	0.26	-1.0	0.17	-1.0	0.33	-1.0
epochs	9	-1.0	8	-1.0	10	-1.0	18	-1.0	11	-1.0	21	-1.0	16	-1.0	11	-1.0	11	-1.0	8	-1.0
df_test_%	22.7	-1.0	23.2	-1.0	21.9	-1.0	32.9	-1.0	29.8	-1.0	20.2	-1.0	10.3	-1.0	21.0	-1.0	25.0	-1.0	19.2	-1.0
positives	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0
count	271.0	-1.0	271.0	-1.0	271.0	-1.0	271.0	-1.0	271.0	-1.0	271.0	-1.0	271.0	-1.0	271.0	-1.0	271.0	-1.0	271.0	-1.0
mean	0.4898	-1.0	0.4348	-1.0	0.2663	-1.0	0.4483	-1.0	0.4346	-1.0	0.4563	-1.0	0.6041	-1.0	0.3949	-1.0	0.4433	-1.0	0.5033	-1.0
std	0.1446	-1.0	0.1785	-1.0	0.2576	-1.0	0.3691	-1.0	0.2417	-1.0	0.3115	-1.0	0.2229	-1.0	0.223	-1.0	0.2835	-1.0	0.2781	-1.0
min	0.2578	-1.0	0.172	-1.0	0.0047	-1.0	0.0	-1.0	0.0359	-1.0	0.0085	-1.0	0.0767	-1.0	0.0002	-1.0	0.0053	-1.0	0.0624	-1.0
25%	0.3794	8.37	0.2965	7.88	0.0507	8.37	0.0583	8.37	0.2215	7.88	0.085	8.37	0.452	7.88	0.2325	7.88	0.1725	8.87	0.2197	7.88
