	TFm_UBER_pos_reg4_mult_28	TFm_UBER_pos_reg4_mult_28_per	TFm_UBER_pos_reg4_mult_64	TFm_UBER_pos_reg4_mult_64_per	TFm_UBER_pos_reg4_mult_128	TFm_UBER_pos_reg4_mult_128_per	r_TFm_UBER_pos_reg4_mult_conv2	TFm_UBER_pos_reg4_mult_conv	TFm_UBER_pos_reg4_mult_conv_per	TFm_UBER_pos_reg4__simp_cordo	TFm_UBER_pos_reg4__simp_cordo_per	TFm_UBER_pos_reg4_mult_linear	TFm_UBER_pos_reg4_mult_linear_per	TFm_UBER_pos_reg4_mult_dense2	TFm_UBER_pos_reg4_mult_dense2_per	TFm_UBER_pos_reg4_mult_lstm	TFm_UBER_pos_reg4_mult_lstm_per	TFm_UBER_pos_reg4__mult_gru	TFm_UBER_pos_reg4__mult_gru_per
acc_per	87.20	-1.0	86.25	-1.0	92.34	-1.0	-1	92.68	-1.0	78.25	-1.0	73.78	-1.0	89.91	-1.0	92.14	-1.0	93.90	-1.0
loss	0.33	-1.0	0.31	-1.0	0.21	-1.0	-1	0.22	-1.0	0.48	-1.0	0.53	-1.0	0.24	-1.0	0.21	-1.0	0.17	-1.0
epochs	15	-1.0	9	-1.0	9	-1.0	-1	9	-1.0	9	-1.0	12	-1.0	24	-1.0	12	-1.0	17	-1.0
df_test_%	39.1	-1.0	15.1	-1.0	35.2	-1.0	-1	31.7	-1.0	12.2	-1.0	27.1	-1.0	26.9	-1.0	8.2	-1.0	50.8	-1.0
positives	18	-1.0	18	-1.0	18	-1.0	-1	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0	18	-1.0
count	261.0	-1.0	261.0	-1.0	261.0	-1.0	-1	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0	261.0	-1.0
mean	0.5761	-1.0	0.6581	-1.0	0.5361	-1.0	-1	0.5648	-1.0	0.5313	-1.0	0.7445	-1.0	0.6114	-1.0	0.6226	-1.0	0.2612	-1.0
std	0.2017	-1.0	0.1324	-1.0	0.1603	-1.0	-1	0.1533	-1.0	0.1278	-1.0	0.1136	-1.0	0.3931	-1.0	0.2983	-1.0	0.3435	-1.0
min	0.1113	-1.0	0.3746	-1.0	0.2077	-1.0	-1	0.2649	-1.0	0.2523	-1.0	0.2147	-1.0	0.0	-1.0	0.0	-1.0	0.0031	-1.0
25%	0.4304	9.18	0.5496	9.18	0.416	9.18	-1	0.4641	9.18	0.434	9.23	0.7022	8.16	0.1701	8.21	0.3965	7.18	0.0144	8.67
50%	0.5832	12.98	0.6275	13.74	0.522	13.08	-1	0.539	13.08	0.5942	12.98	0.7652	8.4	0.8378	9.92	0.6871	8.4	0.0474	12.98
60%	0.6535	16.19	0.6885	17.14	0.551	15.38	-1	0.5738	16.35	0.6212	15.38	0.7866	9.52	0.9001	11.54	0.7756	6.73	0.105	16.19
70%	0.7144	20.25	0.7391	23.08	0.6032	20.25	-1	0.62	20.25	0.635	17.72	0.8055	11.54	0.9323	15.38	0.857	7.59	0.3362	21.79
75%	0.7438	21.21	0.7664	24.62	0.6471	24.62	-1	0.6564	22.73	0.6406	19.7	0.8171	12.12	0.9506	18.18	0.8904	7.69	0.5335	26.15
80%	0.7692	22.64	0.7917	23.08	0.6715	26.92	-1	0.6953	25.0	0.6453	20.37	0.8346	15.09	0.9634	21.15	0.93	9.43	0.646	32.69
85%	0.8007	28.21	0.8187	25.0	0.6928	28.21	-1	0.7355	28.21	0.6485	10.53	0.843	20.51	0.975	20.0	0.9438	5.13	0.8043	40.0
86%	0.8122	27.03	0.8249	24.32	0.7025	27.03	-1	0.7378	29.73	0.6492	10.81	0.8438	21.62	0.978	21.62	0.9461	5.41	0.8114	43.24
87%	0.8215	29.41	0.8288	23.53	0.7098	26.47	-1	0.7449	29.41	0.6498	8.82	0.8465	23.53	0.982	23.53	0.95	5.88	0.8347	47.06
88%	0.8317	31.25	0.8339	18.75	0.7243	28.12	-1	0.7625	28.12	0.6502	9.38	0.8539	25.0	0.9832	21.88	0.9544	6.25	0.8744	46.88
89%	0.8389	34.48	0.839	13.79	0.7266	31.03	-1	0.7818	27.59	0.651	10.0	0.8556	27.59	0.9848	24.14	0.9601	6.9	0.8914	44.83
90%	0.8471	37.04	0.8437	15.38	0.739	34.62	-1	0.7923	30.77	0.6511	11.11	0.8618	25.0	0.9868	25.93	0.97	7.41	0.8976	48.15
91%	0.8601	41.67	0.8484	12.5	0.7686	37.5	-1	0.8005	33.33	0.6515	12.0	0.8619	25.0	0.9875	29.17	0.9726	8.33	0.9089	50.0
92%	0.8639	42.86	0.8575	14.29	0.7824	38.1	-1	0.8249	33.33	0.6518	14.29	0.8641	28.57	0.9884	28.57	0.975	9.52	0.9202	57.14
93%	0.8702	47.37	0.8615	15.79	0.7964	42.11	-1	0.8364	36.84	0.652	16.67	0.8666	31.58	0.9895	31.58	0.9801	10.53	0.9362	57.89
94%	0.8741	50.0	0.8763	18.75	0.8189	50.0	-1	0.8449	43.75	0.6522	18.75	0.8692	31.25	0.991	35.29	0.9824	12.5	0.9493	62.5
95%	0.8846	61.54	0.8881	23.08	0.8402	61.54	-1	0.8601	46.15	0.6525	14.29	0.8743	28.57	0.9931	46.15	0.9856	14.29	0.952	69.23
96%	0.8878	63.64	0.8928	18.18	0.8588	63.64	-1	0.8866	45.45	0.6529	18.18	0.8778	27.27	0.9945	54.55	0.9869	18.18	0.9603	72.73
97%	0.8995	62.5	0.8984	25.0	0.8934	62.5	-1	0.8941	62.5	0.6536	12.5	0.8853	25.0	0.9961	62.5	0.9885	25.0	0.9679	87.5
98%	0.903	66.67	0.9101	33.33	0.9208	83.33	-1	0.9098	83.33	0.6549	14.29	0.8887	33.33	0.9975	66.67	0.99	33.33	0.9765	83.33
max	0.9328	-1.0	0.9647	-1.0	0.9636	-1.0	-1	0.9468	-1.0	0.6555	-1.0	0.9412	-1.0	0.9993	-1.0	0.9983	-1.0	0.9955	-1.0
