	TFm_UBER_pos_vgood16_mult_28	TFm_UBER_pos_vgood16_mult_28_per	TFm_UBER_pos_vgood16_mult_64	TFm_UBER_pos_vgood16_mult_64_per	TFm_UBER_pos_vgood16_mult_128	TFm_UBER_pos_vgood16_mult_128_per	TFm_UBER_pos_vgood16_mult_conv2	TFm_UBER_pos_vgood16_mult_conv2_per	TFm_UBER_pos_vgood16_mult_conv	TFm_UBER_pos_vgood16_mult_conv_per	TFm_UBER_pos_vgood16__simp_cordo	TFm_UBER_pos_vgood16__simp_cordo_per	TFm_UBER_pos_vgood16_mult_linear	TFm_UBER_pos_vgood16_mult_linear_per	TFm_UBER_pos_vgood16_mult_dense2	TFm_UBER_pos_vgood16_mult_dense2_per	TFm_UBER_pos_vgood16_mult_lstm	TFm_UBER_pos_vgood16_mult_lstm_per	TFm_UBER_pos_vgood16__mult_gru	TFm_UBER_pos_vgood16__mult_gru_per
acc_per	72.28	-1.0	81.61	-1.0	86.59	-1.0	88.86	-1.0	81.99	-1.0	67.42	-1.0	66.06	-1.0	71.11	-1.0	76.49	-1.0	77.20	-1.0
loss	0.56	-1.0	0.44	-1.0	0.31	-1.0	0.28	-1.0	0.43	-1.0	0.61	-1.0	0.60	-1.0	0.53	-1.0	0.47	-1.0	0.47	-1.0
epochs	8	-1.0	15	-1.0	13	-1.0	12	-1.0	11	-1.0	8	-1.0	10	-1.0	11	-1.0	8	-1.0	9	-1.0
df_test_%	15.6	-1.0	14.5	-1.0	13.8	-1.0	12.7	-1.0	11.6	-1.0	12.7	-1.0	11.7	-1.0	11.7	-1.0	17.9	-1.0	14.7	-1.0
positives	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0	12	-1.0
count	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0	275.0	-1.0
mean	0.5079	-1.0	0.4742	-1.0	0.4515	-1.0	0.4329	-1.0	0.5096	-1.0	0.5126	-1.0	0.5319	-1.0	0.4919	-1.0	0.5926	-1.0	0.4817	-1.0
std	0.0708	-1.0	0.192	-1.0	0.2419	-1.0	0.2501	-1.0	0.1552	-1.0	0.0216	-1.0	0.1142	-1.0	0.1566	-1.0	0.1039	-1.0	0.187	-1.0
min	0.3862	-1.0	0.1699	-1.0	0.0067	-1.0	0.0635	-1.0	0.2587	-1.0	0.4877	-1.0	0.3839	-1.0	0.1608	-1.0	0.4366	-1.0	0.1989	-1.0
25%	0.467	5.83	0.3177	5.34	0.2542	4.37	0.22	5.34	0.3818	3.88	0.4985	5.83	0.4529	4.37	0.4137	2.91	0.5225	5.83	0.3273	5.34
