	TFm_1088.HK_neg_reg4_mult_64	TFm_1088.HK_neg_low1_mult_128	TFm_1088.HK_neg_reg4_mult_64_per	TFm_1088.HK_neg_low1_mult_128_per	TFm_1088.HK_pos_good9__mult_gru	TFm_1088.HK_pos_low1__mult_gru	TFm_1088.HK_pos_good9__mult_gru_per	TFm_1088.HK_pos_low1__mult_gru_per	TFm_1299.HK_neg_low1_mult_lstm	TFm_1299.HK_neg_good9_mult_lstm	TFm_1299.HK_neg_low1_mult_lstm_per	TFm_1299.HK_neg_good9_mult_lstm_per	TFm_1299.HK_pos_vgood16_mult_128	TFm_1299.HK_pos_low1_mult_lstm	TFm_1299.HK_pos_vgood16_mult_128_per	TFm_1299.HK_pos_low1_mult_lstm_per	TFm_2318.HK_neg_reg4_mult_lstm	TFm_2318.HK_neg_good9__mult_gru	TFm_2318.HK_neg_reg4_mult_lstm_per	TFm_2318.HK_neg_good9__mult_gru_per	TFm_2318.HK_pos_good9_mult_lstm	TFm_2318.HK_pos_good9__mult_gru	TFm_2318.HK_pos_good9_mult_lstm_per	TFm_2318.HK_pos_good9__mult_gru_per	TFm_1519.HK_neg_low1__mult_gru	TFm_1519.HK_neg_vgood16_mult_lstm	TFm_1519.HK_neg_low1__mult_gru_per	TFm_1519.HK_neg_vgood16_mult_lstm_per	TFm_1519.HK_pos_vgood16_mult_dense2	TFm_1519.HK_pos_vgood16_mult_64	TFm_1519.HK_pos_vgood16_mult_dense2_per	TFm_1519.HK_pos_vgood16_mult_64_per	TFm_0020.HK_neg_good9_mult_lstm	TFm_0020.HK_neg_low1__mult_gru	TFm_0020.HK_neg_good9_mult_lstm_per	TFm_0020.HK_neg_low1__mult_gru_per	TFm_0020.HK_pos_reg4__mult_gru	TFm_0020.HK_pos_reg4_mult_conv	TFm_0020.HK_pos_reg4__mult_gru_per	TFm_0020.HK_pos_reg4_mult_conv_per
acc_per	79.31	91.49	-1.0	-1.0	94.92	95.35	-1.0	-1.0	92.8	93.26	-1.0	-1.0	87.75	96.94	-1.0	-1.0	85.33	89.43	-1.0	-1.0	97.14	96.32	-1.0	-1.0	94.04	86.78	-1.0	-1.0	83.33	86.12	-1.0	-1.0	92.81	93.36	-1.0	-1.0	95.64	98.64	-1.0	-1.0
loss	0.42	0.22	-1.0	-1.0	0.16	0.13	-1.0	-1.0	0.18	0.18	-1.0	-1.0	0.28	0.09	-1.0	-1.0	0.29	0.26	-1.0	-1.0	0.1	0.1	-1.0	-1.0	0.15	0.32	-1.0	-1.0	0.4	0.35	-1.0	-1.0	0.18	0.17	-1.0	-1.0	0.13	0.06	-1.0	-1.0
epochs	14.0	12.0	-1.0	-1.0	10.0	14.0	-1.0	-1.0	13.0	11.0	-1.0	-1.0	16.0	15.0	-1.0	-1.0	10.0	18.0	-1.0	-1.0	11.0	16.0	-1.0	-1.0	21.0	19.0	-1.0	-1.0	15.0	31.0	-1.0	-1.0	10.0	16.0	-1.0	-1.0	9.0	11.0	-1.0	-1.0
df_test_%	25.6	23.1	-1.0	-1.0	40.0	36.0	-1.0	-1.0	38.6	40.3	-1.0	-1.0	29.9	52.1	-1.0	-1.0	44.0	34.6	-1.0	-1.0	31.5	36.7	-1.0	-1.0	31.9	30.1	-1.0	-1.0	32.3	41.2	-1.0	-1.0	34.2	33.4	-1.0	-1.0	27.3	23.2	-1.0	-1.0
positives	14.0	18.0	-1.0	-1.0	15.0	16.0	-1.0	-1.0	15.0	15.0	-1.0	-1.0	14.0	15.0	-1.0	-1.0	12.0	9.0	-1.0	-1.0	13.0	13.0	-1.0	-1.0	12.0	19.0	-1.0	-1.0	19.0	19.0	-1.0	-1.0	20.0	16.0	-1.0	-1.0	9.0	9.0	-1.0	-1.0
count	232.0	230.0	-1.0	-1.0	232.0	225.0	-1.0	-1.0	229.0	229.0	-1.0	-1.0	234.0	229.0	-1.0	-1.0	216.0	216.0	-1.0	-1.0	216.0	216.0	-1.0	-1.0	230.0	234.0	-1.0	-1.0	231.0	231.0	-1.0	-1.0	198.0	198.0	-1.0	-1.0	198.0	198.0	-1.0	-1.0
mean	0.4715	0.4426	-1.0	-1.0	0.5318	0.3976	-1.0	-1.0	0.4013	0.3193	-1.0	-1.0	0.579	0.3163	-1.0	-1.0	0.5292	0.4658	-1.0	-1.0	0.3938	0.3337	-1.0	-1.0	0.344	0.3946	-1.0	-1.0	0.4285	0.4298	-1.0	-1.0	0.4566	0.466	-1.0	-1.0	0.4903	0.3162	-1.0	-1.0
std	0.3093	0.335	-1.0	-1.0	0.3584	0.3669	-1.0	-1.0	0.3722	0.3626	-1.0	-1.0	0.3132	0.3922	-1.0	-1.0	0.3542	0.4111	-1.0	-1.0	0.3342	0.3963	-1.0	-1.0	0.3713	0.4046	-1.0	-1.0	0.3421	0.3296	-1.0	-1.0	0.3179	0.3761	-1.0	-1.0	0.3418	0.2302	-1.0	-1.0
min	0.004	0.0003	-1.0	-1.0	0.0067	0.005	-1.0	-1.0	0.0	0.0	-1.0	-1.0	0.0003	0.0	-1.0	-1.0	0.0004	0.001	-1.0	-1.0	0.0013	0.0001	-1.0	-1.0	0.0013	0.0	-1.0	-1.0	0.0027	0.0005	-1.0	-1.0	0.0003	0.0017	-1.0	-1.0	0.0156	0.0158	-1.0	-1.0
25%	0.1359	0.0263	8.05	9.88	0.1172	0.0584	8.62	9.52	0.0358	0.0089	8.14	7.56	0.3335	0.0026	7.43	8.72	0.145	0.009	7.41	5.56	0.0824	0.0088	7.41	7.41	0.0091	0.0002	6.98	9.6	0.0854	0.1301	10.98	10.98	0.139	0.0777	12.16	10.81	0.127	0.1218	6.08	4.73
