	acc_per	loss	epochs	df_test_%	positives	count	mean	std	min	25%	50%	60%	70%	75%	80%	85%	86%	87%	88%	89%	90%	91%	92%	93%	94%	95%	96%	97%	98%	max
TFm_UBER_neg_vgood16_mult_28	73.28	0.54	10.0	27.3	20.0	275.0	0.5294	0.1466	0.2407	0.4197	0.519	0.5511	0.5881	0.6326	0.6623	0.7173	0.7222	0.7258	0.7322	0.7395	0.7515	0.7545	0.7595	0.7626	0.7727	0.7814	0.8014	0.8107	0.815	0.8735
TFm_UBER_neg_vgood16_mult_28_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.74	10.14	10.91	14.46	15.94	18.18	19.05	20.51	22.22	21.21	22.58	25.0	28.0	31.82	35.0	41.18	50.0	54.55	55.56	66.67	-1.0
TFm_UBER_neg_vgood16_mult_64	81.27	0.45	19.0	24.4	20.0	275.0	0.4542	0.2545	0.0164	0.2167	0.4891	0.5866	0.6407	0.6611	0.6829	0.7194	0.726	0.7289	0.755	0.762	0.7633	0.7658	0.7795	0.7957	0.824	0.84	0.8534	0.8669	0.8855	0.9706
TFm_UBER_neg_vgood16_mult_64_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.74	9.42	11.82	13.25	13.04	16.36	16.67	17.95	19.44	21.21	22.58	21.43	24.0	27.27	30.0	29.41	35.71	45.45	44.44	66.67	-1.0
TFm_UBER_neg_vgood16_mult_128	82.51	0.39	13.0	26.1	20.0	275.0	0.5126	0.2375	0.0712	0.2893	0.5748	0.6452	0.6859	0.7083	0.7197	0.7404	0.7516	0.7641	0.7686	0.7708	0.7775	0.788	0.7956	0.8137	0.8305	0.8354	0.841	0.876	0.8986	0.9661
TFm_UBER_neg_vgood16_mult_128_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.28	9.42	11.82	13.25	14.49	16.07	21.43	23.08	22.22	24.24	25.81	25.0	24.0	27.27	30.0	29.41	35.71	45.45	44.44	66.67	-1.0
TFm_UBER_neg_vgood16_mult_conv2	86.28	0.35	10.0	17.9	20.0	275.0	0.6032	0.2029	0.1505	0.4345	0.6344	0.7195	0.7656	0.7814	0.8018	0.8171	0.8192	0.8207	0.8248	0.8275	0.8317	0.8331	0.8377	0.8437	0.848	0.8567	0.876	0.88	0.8994	0.9422
TFm_UBER_neg_vgood16_mult_conv2_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	8.25	8.76	9.09	7.23	7.25	9.26	11.9	12.82	13.89	15.15	16.13	17.86	20.0	18.18	20.0	23.53	28.57	36.36	44.44	50.0	-1.0
TFm_UBER_neg_vgood16_mult_conv	76.66	0.49	11.0	27.3	20.0	275.0	0.529	0.2108	0.1473	0.3175	0.595	0.635	0.6655	0.6796	0.6968	0.7423	0.7475	0.7498	0.7557	0.7671	0.7942	0.8215	0.8249	0.8271	0.8308	0.835	0.8434	0.8634	0.8946	0.9528
TFm_UBER_neg_vgood16_mult_conv_per	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	7.77	9.42	11.82	13.25	14.71	14.55	16.67	17.95	19.44	21.21	22.58	25.0	28.0	31.82	35.0	41.18	42.86	45.45	55.56	66.67	-1.0
