	Date	ticker	buy_sell_point	Close	Volume	POS_score	POS_num	NEG_score	NEG_num	POS_score_list	NEG_score_list	POS_models_name	NEG_moldel_name
21	2025-07-03 01:45:00	0001.HK	0	49.55	443052	121	2]	105	2]	25%96	80%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
22	2025-07-03 01:30:00	0001.HK	0	49.75	443052	122	2]	100	2]	25%97	75%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
21	2025-07-03 01:45:00	0001.HK	0	49.55	443052	121	2]	105	2]	25%96	80%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
22	2025-07-03 01:30:00	0001.HK	0	49.75	443052	122	2]	100	2]	25%97	75%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
21	2025-07-03 01:45:00	0001.HK	0	49.55	443052	121	2]	105	2]	25%96	80%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
22	2025-07-03 01:30:00	0001.HK	0	49.75	443052	122	2]	100	2]	25%97	75%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
21	2025-07-03 01:45:00	0001.HK	0	49.55	443052	121	2]	105	2]	25%96	80%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
22	2025-07-03 01:30:00	0001.HK	0	49.75	443052	122	2]	100	2]	25%97	75%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
21	2025-07-04 01:45:00	0001.HK	0	48.25	362000	120	2]	85	2]	25%95	60%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
22	2025-07-04 01:30:00	0001.HK	0	48.6	362000	118	2]	85	2]	25%93	60%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
21	2025-07-04 01:45:00	0001.HK	0	48.25	362000	120	2]	85	2]	25%95	60%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
22	2025-07-04 01:30:00	0001.HK	0	48.6	362000	118	2]	85	2]	25%93	60%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
21	2025-07-04 01:45:00	0001.HK	0	48.25	362000	120	2]	85	2]	25%95	60%25	0001.HK_pos_good9__mult_gru, 0001.HK_pos_vgood16__mult_gru	0001.HK_neg_low1__mult_gru, 0001.HK_neg_vgood16__mult_gru
